# sourceSeal=e88dcd0 — S242/GRB-04. Splitting the exhausted pairs by WHY they are narrow.
# closed-fact-set = one sentence, one number moving, and the values form a contiguous run with
# no gaps — the pool IS the subject (a times table, a counting range). Widening these is wrong.
# cosmetic-only = every prompt keys the SAME ANSWER — the variation is a noun, not mathematics.
# Widening these raises a count and changes nothing a learner does; see CLAUDE.md rule 7.
# under-parameterised = everything else: the pool is narrow because a dimension is missing.
generator,form,verdict,distinctPrompts,distinctAnswers,shapes,varyingSlots,run,example
fn-evaluate,squareOnly,under-parameterised,6,6,1,1,4..9,For f(x) = x^2  what is f(4)?
geo-series,infBasic,under-parameterised,6,6,2,-1,-,Find 6 + 2 + 2/3 + ⋯ (forever).
angle-equation,linearPairLab,under-parameterised,6,-1,2,1,-,Angles x and 3x sit together on a straight line. Solve for x (in degrees).
solve-mult-div,solveDiv,under-parameterised,6,6,1,2,-,Solve x ÷ 2 = 8.
common-denom,lcd,under-parameterised,6,5,1,4,-,What is the least common denominator for 2/3 and 4/5?
exp-solve,reciprocalBase,under-parameterised,6,-1,1,2,-,Solve (1/3)^x = 9.
deriv-quotient,default,under-parameterised,6,6,2,1,-,f(x) = x²/(x + 1). Find f′(1)  as a decimal.
sigma-eval,default,under-parameterised,6,6,1,2,-,Evaluate Σ from k = 3 to 6 of k.
arith-series,odds,under-parameterised,6,6,1,2,-,Find the sum of the first 20 odd numbers: 1 + 3 + 5 + ⋯ + 39.
solve-trig-all,sumSin,under-parameterised,6,2,4,1,-,Solve 2 sin x + √3 = 0 on [0  2π). What is the SUM of the solutions  to hundredths?
g7-sp-counting-principle,spCountFlips,under-parameterised,6,6,1,1,3..8,A fair coin is flipped 5 times. How many distinct ordered outcomes are possible?
g1-counting-120,To120Numeric,under-parameterised,6,6,1,1,60..110,70 + 10 = ?
g2-shapes-shares,Ssg2PyramidNumeric,under-parameterised,6,4,6,0,-,How many faces does a triangular pyramid have?
g2-shapes-shares,Ssg2ShapeVocabNumeric,under-parameterised,6,6,6,0,-,How many sides does a triangle have?
exp-function,nextTerm,under-parameterised,6,-1,1,4,-,The sequence 5  10  20  40 continues. What is the next term?
grid-count,square,under-parameterised,6,6,1,2,-,A rectangle is partitioned into 5 rows and 5 columns of unit squares. How many unit squa
cn-disc-repeat,forceC,under-parameterised,6,6,1,1,6..16,For what value of c does x² + 6x + c = 0 have exactly one repeated root?
angle-equation,complement,under-parameterised,6,6,1,1,10..60,Solve x + (x + 50) = 90. What is x  in degrees?
grid-count,squareRead,under-parameterised,6,-1,1,2,-,A rectangle is partitioned into 6 rows and 6 columns of unit squares. How many unit squa
ladder-shift,divThrice,under-parameterised,6,-1,1,1,120..520,250 ÷ 10 ÷ 10 ÷ 10 = ? (enter as a decimal)
deriv-quotient,simplifyFirst,under-parameterised,6,6,2,1,-,f(x) = (x³ + x²)/x  for x ≠ 0. Find f′(4).
rolle-c,cubicRepeated,under-parameterised,6,6,1,2,-,f(x) = x³ − 3x² on [0  3]. Find the c strictly inside that Rolle guarantees.
to-polar,radius,under-parameterised,6,6,1,2,-,For the point (8  15)  what is r?
fraction-volume,bucketTrips,under-parameterised,6,5,1,4,-,A tank is 2½ × 4 × 2. A bucket carries 2½ cubic units per trip. How many trips fill the 
g2-add-subtract-100,NearDoublesNumeric,under-parameterised,6,6,1,2,-,7 + 8 = ?
g2-place-value-1000,Pv1000SkipHundredsNumeric,under-parameterised,6,6,1,3,-,Skip-count by 100s: 200  300  400  ___?
deriv-explog,expChain,under-parameterised,6,6,1,1,2..7,f(x) = e^(2x). Find f′(0).
conditional-prob,diceCondition,under-parameterised,6,4,1,1,5..10,Two dice are rolled and you are told the total is **more than 5**. Find P(the roll is a 
exp-function,decayStart,under-parameterised,5,-1,1,1,320..2400,For A(x) = 320 · (1/2)^x  what is the starting amount A(0)?
geo-series,ballDown,under-parameterised,5,5,1,1,4..12,A ball drops from 4 m and rebounds to half its previous height  forever. What is the TOT
trig-deriv,chain,under-parameterised,5,5,1,1,2..10,f(x) = sin 2x. Find f′(0).
g4-lines-angles,laSymmetryFindingNumeric,under-parameterised,5,5,5,0,-,How many lines of symmetry does a isosceles triangle have?
unit-size,extraSharer,under-parameterised,5,5,1,2,-,3 kids are about to share a 24 cm licorice rope equally — then one more kid joins BEFORE
radian-convert,halfPiToDeg,under-parameterised,5,5,1,1,3..7,Convert 5π/2 to degrees.
negative-intro,compareFractionDecimal,under-parameterised,5,2,1,3,-,Compare 2/5 and 0.6. Which relation is true?
geo-series,infAlternating,under-parameterised,5,5,2,-1,-,Find 24 − 12 + 6 − 3 + ⋯ (forever).
permutation-count,podium,under-parameterised,5,5,1,1,6..10,8 sprinters race for gold  silver and bronze. How many different podiums are possible?
chord-perp,parallelChords,under-parameterised,5,4,1,3,-,A circle has radius 15. Two parallel chords of lengths 24 and 18 lie on the SAME side of
chord-dist,howMuchLonger,under-parameterised,5,4,1,3,-,Radius 10. One chord sits 6 from the centre  another sits 8. How much LONGER is the clos
root-solve,cubeNegative,under-parameterised,5,-1,1,1,8..216,Which value solves x³ = −64?
order-decimals,secondOf4,under-parameterised,5,5,1,4,-,In 0.5  0.45  0.501  0.51 ordered least to greatest  which comes SECOND?
permutation-count,buildSeat,under-parameterised,5,-1,1,1,5..9,Build the count for seating 3 of 9 people in 3 distinct chairs.
g7-sp-counting-principle,spCountCoinDieA,under-parameterised,5,5,1,1,4..12,A coin is flipped and a fair 4-sided die is rolled. How many ordered outcomes are in the
shape-identify,solid,under-parameterised,4,-1,4,0,-,A beach ball — round all over  with no flat part anywhere. Which solid is it?
root-solve,cube,under-parameterised,4,-1,1,1,27..216,Which value solves x³ = 27?
power-product,tenPower,under-parameterised,4,4,1,1,2..5,Evaluate 10^3.
permutation-count,evenNumbers,under-parameterised,4,4,1,1,5..8,Using the digits 1 to 6 with no repeats  how many **three-digit even** numbers can be fo
shape-identify,rollStack,under-parameterised,4,-1,4,0,-,Which solid stacks into a tower but cannot roll? Tap it.
angle-equation,lineThree,under-parameterised,4,4,1,1,30..120,Angles x  2x  and 90° together fill a straight line. Solve for x (in degrees).
equiv-test,squareVsDouble,under-parameterised,4,4,1,1,3..6,x + x and x² both equal 4 at x = 2. Evaluate x + x at x = 4 to test whether they're trul
g4-measure,mcDegreeMeasurementNumeric,under-parameterised,4,4,4,0,-,How many degrees are in a quarter turn?
reflect-compose,basisColumn,under-parameterised,3,3,1,4,-,Using the combined matrix [[0  1]  [-1  0]]  where does ⟨1  0⟩ land?
reflect-compose,reverseOrder,under-parameterised,2,2,2,2,-,A·B gave a 90° clockwise rotation. What does the reversed order B·A = [[0  -1]  [1  0]] 
