# sourceSeal=3f0bb4a window=10 — a windowDuplicate is the same widget twice inside 10 consecutive draws. distinctWidgets IS A LOWER BOUND: it cannot exceed the sample count, so a pair reporting 28 distinct in 30 draws has a pool of AT LEAST 28 and possibly far more. Only pairs that saturated well below their sample count (the pool-below-window rows) measure a true ceiling.
generator,form,widgetType,verdict,samples,distinctWidgets,windowDuplicates,globalDuplicates,globalDuplicateRate,window
g13-curve-analysis,curve-analysis__ca-inflection__numeric,numeric,pool-above-window,30,13,12,17,0.567,10
g13-derivatives-in-context,derivatives-in-context__dc-choosing-relation__numeric,numeric,pool-above-window,30,13,12,17,0.567,10
g8-fn-function-definition,fgSortFunctionRules,dragBucket,pool-above-window,30,13,11,17,0.567,10
g13-curve-analysis,curve-analysis__ca-three-charts__numeric,numeric,pool-above-window,30,13,11,17,0.567,10
k0-add-subtract,KoaWriteAddMcq,mcq,pool-above-window,30,13,10,17,0.567,10
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-boundary-rule__numeric,numeric,pool-above-window,30,13,10,17,0.567,10
opt-setup,maxProduct,numeric,pool-above-window,50,14,30,36,0.720,10
set-ops,unionCount,numeric,pool-above-window,50,14,23,36,0.720,10
cn-multiply,squareReal,numeric,pool-above-window,50,14,22,36,0.720,10
power-product,exponentOnly,numeric,pool-above-window,46,14,21,32,0.696,10
addition-rule,countOr,numeric,pool-above-window,50,14,19,36,0.720,10
unit-trading,tradeThenGive,numeric,pool-above-window,34,14,16,20,0.588,10
g0-shapes-sorting,shapePositionTap,tapDiagram,pool-above-window,34,14,16,20,0.588,10
count-prob,exactlyTwo,numeric,pool-above-window,34,14,14,20,0.588,10
a1-radicals,rad-unit-fraction-exp__numeric,exactNumberLab,pool-above-window,36,14,14,22,0.611,10
a2-polynomials,pf-anatomy__mcq,mcq,pool-above-window,30,14,14,16,0.533,10
a2-statistics,si-claim-capstone__dragBucket,dragBucket,pool-above-window,30,14,14,16,0.533,10
negative-intro,compareNegativeFractions,rationalCompare,pool-above-window,30,14,13,16,0.533,10
tree-chain,mixedOrder,numeric,pool-above-window,30,14,13,16,0.533,10
g4-place-million,pvAcrossZerosMcq,mcq,pool-above-window,30,14,13,16,0.533,10
g10-triangle-congruence,tc-isosceles-converse__numeric,numeric,pool-above-window,30,14,13,16,0.533,10
g13-derivative-rules,derivative-rules__dr-differentiability__numeric,numeric,pool-above-window,30,14,13,16,0.533,10
g6-data-literacy,ddPipelineBreak,mcq,pool-above-window,30,14,12,16,0.533,10
nl-partition,flagCount,numeric,pool-above-window,34,14,12,20,0.588,10
k0-add-subtract,KoaDrawingsNumeric,numeric,pool-above-window,30,14,12,16,0.533,10
a2-polynomials,pf-div-theorems__mcq,mcq,pool-above-window,30,14,12,16,0.533,10
g12-function-analysis,function-analysis__fna-one-to-one__numeric,exactNumberLab,pool-above-window,30,14,12,16,0.533,10
tree-chain,atLeastOneBlue,numeric,pool-above-window,30,14,11,16,0.533,10
k0-add-subtract,KoaPlusMinusOneNumeric,numeric,pool-above-window,30,14,11,16,0.533,10
a2-polynomials,pf-grouping__buildExpression,buildExpression,pool-above-window,30,14,11,16,0.533,10
a2-series,sr-sigma-write__numeric,numeric,pool-above-window,30,14,11,16,0.533,10
g13-integration-accumulation,integration-accumulation__in-ftc1__numeric,numeric,pool-above-window,30,14,11,16,0.533,10
tree-chain,bothRed,numeric,pool-above-window,30,14,10,16,0.533,10
a2-logarithms,lg-power__numeric,exactNumberLab,pool-above-window,30,14,10,16,0.533,10
a2-rationals,rf-equations__buildExpression,buildExpression,pool-above-window,30,14,10,16,0.533,10
g12-function-analysis,function-analysis__fna-inverse-verify__numeric,exactNumberLab,pool-above-window,30,14,10,16,0.533,10
g13-derivative-rules,derivative-rules__dr-chain-nested__numeric,numeric,pool-above-window,30,14,10,16,0.533,10
g13-differential-equations,differential-equations__de-separable__numeric,numeric,pool-above-window,30,14,10,16,0.533,10
fraction-volume,halfCubes,numeric,pool-above-window,30,14,9,16,0.533,10
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-ineq-scratch__numeric,numeric,pool-above-window,30,14,9,16,0.533,10
decimal-mul-places,threePlaces,numeric,pool-above-window,50,15,27,35,0.700,10
power-product,basicPower,exactNumberLab,pool-above-window,46,15,23,31,0.674,10
linear-predict,halfSlope,numeric,pool-above-window,50,15,23,35,0.700,10
pythagorean,legFromHyp,numeric,pool-above-window,50,15,20,35,0.700,10
a1-radicals,rad-perfect-square__numeric,exactNumberLab,pool-above-window,36,15,17,21,0.583,10
g2-fluency,FlAcrossTenNumeric,numeric,pool-above-window,36,15,16,21,0.583,10
cn-conjugate,divideReal,numeric,pool-above-window,34,15,15,19,0.559,10
decimal-place-value,zeros,fractionEntry,pool-above-window,30,15,15,15,0.500,10
pr-constant-k-g7,rrToolChoice,mcq,pool-above-window,30,15,13,15,0.500,10
g4-lines-angles,laSymmetryConceptMcq,mcq,pool-above-window,30,15,13,15,0.500,10
a1-polynomials,exponent-zero-negative__numeric,numeric,pool-above-window,30,15,13,15,0.500,10
g12-function-analysis,function-analysis__fna-inverse-verify__pointEntry,pointEntry,pool-above-window,30,15,13,15,0.500,10
g12-trig-graphs-inverses,trig-graphs-inverses__tg-inverse-graphs__numeric,numeric,pool-above-window,30,15,13,15,0.500,10
g6-data-literacy,ddReadyQuestion,mcq,pool-above-window,30,15,12,15,0.500,10
g8-bv-fit-idea,bvFitTouch,mcq,pool-above-window,30,15,12,15,0.500,10
a1-quadratics,quad-projectile__numeric,numeric,pool-above-window,30,15,12,15,0.500,10
a2-series,sr-sigma-read__matchPairs,matchPairs,pool-above-window,30,15,12,15,0.500,10
g10-similarity,sy-criterion-choice__numeric,numeric,pool-above-window,30,15,12,15,0.500,10
g13-integration-accumulation,integration-accumulation__in-read-accumulation__numeric,numeric,pool-above-window,30,15,12,15,0.500,10
g13-integration-accumulation,integration-accumulation__in-squeeze__numeric,numeric,pool-above-window,30,15,12,15,0.500,10
g7-sp-counting-principle,spCountCoinDieReal,compoundEventLab,pool-above-window,30,15,11,15,0.500,10
g8-tm-dilation-similarity,tmSimilarFactor,numeric,pool-above-window,30,15,11,15,0.500,10
g1-counting-120,ChartPatternMcq,mcq,pool-above-window,30,15,11,15,0.500,10
a2-logarithms,lg-power__buildExpression,buildExpression,pool-above-window,30,15,11,15,0.500,10
a2-polynomials,pf-sketch__buildExpression,buildExpression,pool-above-window,30,15,11,15,0.500,10
a2-statistics,si-sampling-variability__mcq,mcq,pool-above-window,30,15,11,15,0.500,10
g12-trig-graphs-inverses,trig-graphs-inverses__tg-arcsin__numeric,numeric,pool-above-window,30,15,11,15,0.500,10
g13-derivative-rules,derivative-rules__dr-exp-log__numeric,numeric,pool-above-window,30,15,11,15,0.500,10
g13-differential-equations,differential-equations__de-slope-field__numeric,numeric,pool-above-window,30,15,11,15,0.500,10
g13-series-convergence,series-convergence__sc-power-ops__numeric,numeric,pool-above-window,30,15,11,15,0.500,10
g8-bv-judge-fit,bvJudgeDistance,mcq,pool-above-window,30,15,10,15,0.500,10
g1-counting-120,PastHundredNumeric,numeric,pool-above-window,30,15,10,15,0.500,10
a2-rationals,rf-equations__numeric,numeric,pool-above-window,30,15,10,15,0.500,10
g10-circle-theorems,cr-arc-length__numeric,numeric,pool-above-window,30,15,10,15,0.500,10
g12-trig-graphs-inverses,trig-graphs-inverses__tg-composition-trap__numeric,numeric,pool-above-window,30,15,10,15,0.500,10
g6-data-literacy,ddStatChoose,mcq,pool-above-window,30,15,9,15,0.500,10
g6-data-literacy,ddVariabilityExpected,mcq,pool-above-window,30,15,9,15,0.500,10
variable-meaning,payRate,numeric,pool-above-window,30,15,9,15,0.500,10
a2-polynomials,pf-factor-thm__numeric,numeric,pool-above-window,30,15,9,15,0.500,10
g12-limits-continuity,limits-continuity__lc-dne__numeric,numeric,pool-above-window,30,15,9,15,0.500,10
g13-derivatives-in-context,derivatives-in-context__dc-linearisation-limits__numeric,numeric,pool-above-window,30,15,9,15,0.500,10
g12-polar-parametric,polar-parametric__pp-parametrize__numeric,numeric,pool-above-window,30,15,8,15,0.500,10
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-conjugate__numeric,exactNumberLab,pool-above-window,30,15,7,15,0.500,10
vertical-shift,cornerY,numeric,pool-above-window,50,16,23,34,0.680,10
g7-sp-likelihood-words,spLikelihoodCertain,mcq,pool-above-window,50,16,21,34,0.680,10
combination-count,exactlyTwo,numeric,pool-above-window,34,16,15,18,0.529,10
eval-expression,squarePlus,numeric,pool-above-window,34,16,14,18,0.529,10
whole-as-fraction,divideOut,numeric,pool-above-window,34,16,13,18,0.529,10
a2-statistics,si-claim-overreach__mcq,mcq,pool-above-window,30,16,13,14,0.467,10
sr-recursive,needPrior,mcq,pool-above-window,30,16,12,14,0.467,10
pct-of-number,rrOrderPercent,mcq,pool-above-window,30,16,12,14,0.467,10
times-2,ferryDouble,numeric,pool-above-window,34,16,12,18,0.529,10
k0-add-subtract,KoaZeroFactNumeric,numeric,pool-above-window,30,16,12,14,0.467,10
g4-measure,mcFractionMeasurementNumeric,numeric,pool-above-window,30,16,12,14,0.467,10
a2-statistics,si-causation__dragBucket,dragBucket,pool-above-window,30,16,12,14,0.467,10
g12-trig-graphs-inverses,trig-graphs-inverses__tg-arccos__numeric,numeric,pool-above-window,30,16,12,14,0.467,10
g7-circumference,circApprox,numeric,pool-above-window,34,16,11,18,0.529,10
g8-les-substitution-method,lesSubstituteMultipleB,numeric,pool-above-window,30,16,11,14,0.467,10
g1-counting-120,To120Mcq,mcq,pool-above-window,30,16,11,14,0.467,10
g4-lines-angles,laParallelLinesMcq,mcq,pool-above-window,30,16,11,14,0.467,10
a1-solving-equations,literal-frac__mcq,mcq,pool-above-window,30,16,11,14,0.467,10
a2-polynomials,pf-long-div__buildExpression,buildExpression,pool-above-window,30,16,11,14,0.467,10
a2-radicals,re-power-solve__numeric,exactNumberLab,pool-above-window,30,16,11,14,0.467,10
g10-triangle-congruence,tc-cpctc-practice__numeric,numeric,pool-above-window,30,16,11,14,0.467,10
g12-function-analysis,function-analysis__fna-graph-read__numeric,numeric,pool-above-window,30,16,11,14,0.467,10
g12-polar-parametric,polar-parametric__pp-circles__numeric,numeric,pool-above-window,30,16,11,14,0.467,10
g12-polar-parametric,polar-parametric__pp-eliminate__numeric,numeric,pool-above-window,30,16,11,14,0.467,10
g13-derivative-rules,derivative-rules__dr-implicit__numeric,numeric,pool-above-window,30,16,11,14,0.467,10
g6-data-literacy,ddStatDefinition,mcq,pool-above-window,30,16,10,14,0.467,10
equiv-test,combineCheck,numeric,pool-above-window,30,16,10,14,0.467,10
shape-hierarchy,cgParallelogramTrapezoidVerdict,shapeHierarchyLab,pool-above-window,30,16,10,14,0.467,10
g8-les-substitution-method,lesSubstituteMultiple,numeric,pool-above-window,30,16,10,14,0.467,10
g3-mult-fluency,MultDeriveNumeric,numeric,pool-above-window,30,16,10,14,0.467,10
a2-logarithms,lg-evaluate__numeric,exactNumberLab,pool-above-window,30,16,10,14,0.467,10
a2-rationals,rf-divide__buildExpression,buildExpression,pool-above-window,30,16,10,14,0.467,10
a2-statistics,si-sampling-dist__mcq,mcq,pool-above-window,30,16,10,14,0.467,10
a2-statistics,si-standard-error__mcq,mcq,pool-above-window,30,16,10,14,0.467,10
a2-statistics,si-study-type__matchPairs,matchPairs,pool-above-window,30,16,10,14,0.467,10
g10-circle-theorems,cr-thales__numeric,numeric,pool-above-window,30,16,10,14,0.467,10
g10-similarity,sy-geometric-mean__numeric,numeric,pool-above-window,30,16,10,14,0.467,10
g12-polar-parametric,polar-parametric__pp-circles__pointEntry,pointEntry,pool-above-window,30,16,10,14,0.467,10
g12-trig-graphs-inverses,trig-graphs-inverses__tg-tan-values__numeric,numeric,pool-above-window,30,16,10,14,0.467,10
g13-curve-analysis,curve-analysis__ca-read-f-prime__numeric,numeric,pool-above-window,30,16,10,14,0.467,10
g13-parametric-polar-calculus,parametric-polar-calculus__pc-second-derivative__numeric,numeric,pool-above-window,30,16,10,14,0.467,10
g10-conditional-probability,conditional-probability__cpr-table-union__numeric,numeric,pool-above-window,30,16,10,14,0.467,10
g6-data-literacy,ddStatRewrite,mcq,pool-above-window,30,16,9,14,0.467,10
g6-center-spread,ddCenterTypical,mcq,pool-above-window,30,16,9,14,0.467,10
variable-meaning,independentLaps,mcq,pool-above-window,30,16,9,14,0.467,10
a2-rationals,rf-divide__mcq,mcq,pool-above-window,30,16,9,14,0.467,10
a2-statistics,si-pvalue-idea__mcq,mcq,pool-above-window,30,16,9,14,0.467,10
g12-trig-identities-equations,trig-identities-equations__ti-double-action__numeric,numeric,pool-above-window,30,16,9,14,0.467,10
g10-conditional-probability,conditional-probability__cpr-marginal-prob__numeric,numeric,pool-above-window,30,16,9,14,0.467,10
a2-statistics,si-margin__mcq,mcq,pool-above-window,30,16,8,14,0.467,10
g12-polar-parametric,polar-parametric__pp-nth-roots__numeric,numeric,pool-above-window,30,16,8,14,0.467,10
g12-polar-parametric,polar-parametric__pp-parametrize__pointEntry,pointEntry,pool-above-window,30,16,8,14,0.467,10
g13-derivative-rules,derivative-rules__dr-sign-of-derivative__numeric,numeric,pool-above-window,30,16,8,14,0.467,10
g13-derivative-rules,derivative-rules__dr-tangent-line__numeric,numeric,pool-above-window,30,16,8,14,0.467,10
g13-derivatives-in-context,derivatives-in-context__dc-speed__numeric,numeric,pool-above-window,30,16,8,14,0.467,10
g8-esn-root-context,esnRootCube,numeric,pool-above-window,30,16,7,14,0.467,10
g4-measure,mcLinePlotBuildMcq,mcq,pool-above-window,30,16,7,14,0.467,10
g12-polar-parametric,polar-parametric__pp-polar-form__numeric,numeric,pool-above-window,30,16,7,14,0.467,10
g3-div-fluency,DivBy89Numeric,numeric,pool-above-window,42,17,15,25,0.595,10
nl-unit,fixMistake,numberLinePlace,pool-above-window,34,17,13,17,0.500,10
g4-decimals,dTrailingZeroRational,rationalCompare,pool-above-window,34,17,13,17,0.500,10
double-double,spiderLegs,numeric,pool-above-window,34,17,12,17,0.500,10
g0-counting,countTensLine,numberLineHop,pool-above-window,30,17,12,13,0.433,10
a1-systems,eliminate-scale-both__mcq,mcq,pool-above-window,34,17,12,17,0.500,10
arith-series,secondForm,numeric,pool-above-window,30,17,11,13,0.433,10
frac-sign-ops,divSame,signedFractionLab,pool-above-window,34,17,11,17,0.500,10
a1-solving-equations,both-sides-inequality__mcq,mcq,pool-above-window,30,17,11,13,0.433,10
a2-statistics,si-ci-meaning__matchPairs,matchPairs,pool-above-window,30,17,11,13,0.433,10
a2-statistics,si-parameter-statistic__mcq,mcq,pool-above-window,30,17,11,13,0.433,10
a2-statistics,si-read-poll__mcq,mcq,pool-above-window,30,17,11,13,0.433,10
g10-right-triangles,rt-454590-apply__numeric,numeric,pool-above-window,30,17,11,13,0.433,10
multiple-find,lcm,numeric,pool-above-window,30,17,10,13,0.433,10
pq-para-angle,solveConsecutive,numeric,pool-above-window,34,17,10,17,0.500,10
orbit-ecc,reflector,mcq,pool-above-window,34,17,10,17,0.500,10
whole-as-fraction,writeInParts,numeric,pool-above-window,34,17,10,17,0.500,10
bar-graph,halfScale,numeric,pool-above-window,34,17,10,17,0.500,10
mult-patterns,halfRow,numeric,pool-above-window,34,17,10,17,0.500,10
pr-unit-rate-g7,rrUnitPriceCents,proportionalReasoningLab,pool-above-window,30,17,10,13,0.433,10
g4-lines-angles,laAngleFormationMcq,mcq,pool-above-window,30,17,10,13,0.433,10
g4-lines-angles,laPerpendicularLinesMcq,mcq,pool-above-window,30,17,10,13,0.433,10
a2-polynomials,pf-turning__mcq,mcq,pool-above-window,30,17,10,13,0.433,10
a2-radicals,re-models__mcq,mcq,pool-above-window,30,17,10,13,0.433,10
a2-rationals,rf-lcd__buildExpression,buildExpression,pool-above-window,30,17,10,13,0.433,10
a2-statistics,si-claim-design__mcq,mcq,pool-above-window,30,17,10,13,0.433,10
a2-statistics,si-read-poll__dragOrder,dragOrder,pool-above-window,30,17,10,13,0.433,10
a2-statistics,si-significance-limits__dragBucket,dragBucket,pool-above-window,30,17,10,13,0.433,10
g10-geometry-foundations,gf-rotational-symmetry__numeric,numeric,pool-above-window,30,17,10,13,0.433,10
g12-polar-parametric,polar-parametric__pp-limacons__numeric,numeric,pool-above-window,30,17,10,13,0.433,10
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-rearrange__numeric,numeric,pool-above-window,30,17,10,13,0.433,10
g13-integration-accumulation,integration-accumulation__in-library__numeric,numeric,pool-above-window,30,17,10,13,0.433,10
g6-data-literacy,ddStatFixedFact,mcq,pool-above-window,30,17,9,13,0.433,10
probability-fraction,compound,fractionEntry,pool-above-window,34,17,9,17,0.500,10
decimal-representation,wordBuildSimple,buildExpression,pool-above-window,30,17,9,13,0.433,10
shape-hierarchy,cgInheritanceChain,shapeHierarchyLab,pool-above-window,30,17,9,13,0.433,10
g8-tm-congruence,tmCongruenceMeaning,mcq,pool-above-window,30,17,9,13,0.433,10
k0-add-subtract,KoaTakeAwayNumeric,numeric,pool-above-window,30,17,9,13,0.433,10
k0-add-subtract,KoaSubActOutNumeric,numeric,pool-above-window,30,17,9,13,0.433,10
g0-shapes-sorting,shapeSortFrame,tenFrame,pool-above-window,34,17,9,17,0.500,10
g4-measure,mcDegreeMeasurementMcq,mcq,pool-above-window,30,17,9,13,0.433,10
a2-logarithms,lg-e__mcq,mcq,pool-above-window,30,17,9,13,0.433,10
a2-rationals,rf-simplify__buildExpression,buildExpression,pool-above-window,30,17,9,13,0.433,10
a2-statistics,si-claim-design__matchPairs,matchPairs,pool-above-window,30,17,9,13,0.433,10
a2-statistics,si-sampling-dist__numeric,numeric,pool-above-window,30,17,9,13,0.433,10
g10-constructions-proof,cp-parallel-through-point__numeric,numeric,pool-above-window,30,17,9,13,0.433,10
g12-polar-parametric,polar-parametric__pp-parametric__numeric,numeric,pool-above-window,30,17,9,13,0.433,10
g13-derivative-rules,derivative-rules__dr-critical-point__numeric,numeric,pool-above-window,30,17,9,13,0.433,10
sr-recursive,geometric,numeric,pool-above-window,30,17,8,13,0.433,10
equiv-test,zeroTest,numeric,pool-above-window,30,17,8,13,0.433,10
g8-esn-power-meaning,esnPowerZero,numeric,pool-above-window,30,17,8,13,0.433,10
g1-counting-120,MixJumpsMcq,mcq,pool-above-window,30,17,8,13,0.433,10
g1-shapes-measure,Smg1HalvesFourthsMcq,mcq,pool-above-window,34,17,8,17,0.500,10
a1-solving-equations,multi-literal__mcq,mcq,pool-above-window,30,17,8,13,0.433,10
a2-rationals,rf-multiply__buildExpression,buildExpression,pool-above-window,30,17,8,13,0.433,10
a2-statistics,si-parameter-statistic__matchPairs,matchPairs,pool-above-window,30,17,8,13,0.433,10
g10-constructions-proof,cp-converses__numeric,numeric,pool-above-window,30,17,8,13,0.433,10
g10-similarity,sy-similarity__numeric,numeric,pool-above-window,30,17,8,13,0.433,10
decimal-align-addsub,mealAdd,numeric,pool-above-window,30,17,7,13,0.433,10
proportional-plot,cgPairValue,numeric,pool-above-window,30,17,7,13,0.433,10
attributes,cgSquareExtra,mcq,pool-above-window,30,17,7,13,0.433,10
line-plot,fractionRange,mcq,pool-above-window,30,17,7,13,0.433,10
g0-counting,countObjectsFlash,subitizeFlash,pool-above-window,30,17,7,13,0.433,10
a2-logarithms,lg-halflife__numeric,numeric,pool-above-window,30,17,7,13,0.433,10
a2-polynomials,pf-long-div__mcq,mcq,pool-above-window,30,17,7,13,0.433,10
a2-series,sr-geo-apply__dragBucket,dragBucket,pool-above-window,30,17,7,13,0.433,10
g10-polygons-quadrilaterals,pq-exterior-sum__numeric,numeric,pool-above-window,30,17,7,13,0.433,10
g10-triangle-congruence,tc-hl__numeric,numeric,pool-above-window,30,17,7,13,0.433,10
shape-hierarchy,cgSquareRhombusAlways,shapeHierarchyLab,pool-above-window,30,17,6,13,0.433,10
k0-add-subtract,KoaSpeedy5Numeric,numeric,pool-above-window,30,17,6,13,0.433,10
a2-statistics,si-bias__dragBucket,dragBucket,pool-above-window,30,17,6,13,0.433,10
a2-trig,tf-unit-circle__mcq,mcq,pool-above-window,30,17,6,13,0.433,10
avg-rate-change,quadShift,numeric,pool-above-window,50,18,21,32,0.640,10
g7-sp-likelihood-words,spLikelihoodImpossible,mcq,pool-above-window,50,18,19,32,0.640,10
g3-div-fluency,DivBy67Numeric,numeric,pool-above-window,42,18,14,24,0.571,10
unit-frac-divide,shareDenominatorNumeric,numeric,pool-above-window,34,18,13,16,0.471,10
tiling,whichTiles,mcq,pool-above-window,34,18,12,16,0.471,10
g3-div-fluency,DivBy45Numeric,numeric,pool-above-window,42,18,12,24,0.571,10
g12-trig-identities-equations,trig-identities-equations__ti-reciprocals__numeric,numeric,pool-above-window,30,18,12,12,0.400,10
circle-complete,completeSquare,numeric,pool-above-window,34,18,11,16,0.471,10
g2-fluency,FlSums12Numeric,numeric,pool-above-window,36,18,11,18,0.500,10
g10-conditional-probability,conditional-probability__cpr-complement-table__numeric,numeric,pool-above-window,30,18,11,12,0.400,10
k0-add-subtract,KoaActOutNumeric,numeric,pool-above-window,30,18,10,12,0.400,10
g4-measure,mcLinePlotQuestionsNumeric,numeric,pool-above-window,30,18,10,12,0.400,10
a1-functions-sequences,fn-common-ratio__numeric,numeric,pool-above-window,30,18,10,12,0.400,10
a2-statistics,si-null-model__mcq,mcq,pool-above-window,30,18,10,12,0.400,10
solve-mult-div,verifyMul,numeric,pool-above-window,34,18,9,16,0.471,10
domain-restrict,excludeZero,numeric,pool-above-window,34,18,9,16,0.471,10
pr-constant-k-g7,rrRatioBuild,buildExpression,pool-above-window,30,18,9,12,0.400,10
g1-shapes-measure,Smg1HalvesMcq,mcq,pool-above-window,34,18,9,16,0.471,10
a2-rationals,rf-equations__mcq,mcq,pool-above-window,30,18,9,12,0.400,10
a2-statistics,si-causation__mcq,mcq,pool-above-window,30,18,9,12,0.400,10
a2-statistics,si-study-type__mcq,mcq,pool-above-window,30,18,9,12,0.400,10
g6-data-literacy,ddDataMixedQuestions,mcq,pool-above-window,30,18,8,12,0.400,10
cn-sum-product,findB,numeric,pool-above-window,34,18,8,16,0.471,10
angle-equation,vertical,numeric,pool-above-window,30,18,8,12,0.400,10
shape-hierarchy,cgInheritanceDirection,shapeHierarchyLab,pool-above-window,30,18,8,12,0.400,10
pr-constant-k-g7,rrSimplifyDivisor,numeric,pool-above-window,30,18,8,12,0.400,10
g8-bv-categorical-association,bvCatWhyRates,mcq,pool-above-window,30,18,8,12,0.400,10
k0-add-subtract,KoaChooseOpMcq,mcq,pool-above-window,30,18,8,12,0.400,10
g0-counting,countSubtractLine,numberLineHop,pool-above-window,30,18,8,12,0.400,10
a1-solving-equations,literal-eq__mcq,mcq,pool-above-window,30,18,8,12,0.400,10
a2-complex,cn-add-sub__mcq,mcq,pool-above-window,30,18,8,12,0.400,10
a2-radicals,re-solve__mcq,mcq,pool-above-window,30,18,8,12,0.400,10
a2-statistics,si-bias-vs-variability__mcq,mcq,pool-above-window,30,18,8,12,0.400,10
a2-statistics,si-bias__mcq,mcq,pool-above-window,30,18,8,12,0.400,10
g10-constructions-proof,cp-perp-at-point__numeric,numeric,pool-above-window,30,18,8,12,0.400,10
g10-solid-geometry,sg-cavalieri-limits__numeric,exactNumberLab,pool-above-window,30,18,8,12,0.400,10
g10-solid-geometry,sg-section-reasoning__numeric,exactNumberLab,pool-above-window,30,18,8,12,0.400,10
g10-triangle-congruence,tc-cpctc__numeric,numeric,pool-above-window,30,18,8,12,0.400,10
g10-conditional-probability,conditional-probability__cpr-indep-vs-disjoint__numeric,numeric,pool-above-window,30,18,8,12,0.400,10
geo-series,doubling,numeric,pool-above-window,30,18,7,12,0.400,10
quadrilaterals,cgParallelogramNotGuaranteed,mcq,pool-above-window,30,18,7,12,0.400,10
k0-add-subtract,KoaFingersNumeric,numeric,pool-above-window,30,18,7,12,0.400,10
a2-complex,cn-cts-solve__mcq,mcq,pool-above-window,30,18,7,12,0.400,10
a2-logarithms,lg-ln__mcq,mcq,pool-above-window,30,18,7,12,0.400,10
a2-radicals,re-extraneous__mcq,mcq,pool-above-window,30,18,7,12,0.400,10
a2-rationals,rf-variation__mcq,mcq,pool-above-window,30,18,7,12,0.400,10
g10-coordinate-proofs,cx-classify-quad__numeric,numeric,pool-above-window,30,18,7,12,0.400,10
g10-right-triangles,rt-pythagorean__numeric,numeric,pool-above-window,30,18,7,12,0.400,10
g12-polar-parametric,polar-parametric__pp-polar-system__pointEntry,pointEntry,pool-above-window,30,18,7,12,0.400,10
prob-fraction,compound,fractionEntry,pool-above-window,30,18,6,12,0.400,10
a2-transformations,ft-arith__mcq,mcq,pool-above-window,30,18,6,12,0.400,10
a2-radicals,re-rules__numeric,exactNumberLab,pool-above-window,30,18,6,12,0.400,10
a2-statistics,si-ci-meaning__mcq,mcq,pool-above-window,30,18,6,12,0.400,10
a2-trig,tf-model__mcq,mcq,pool-above-window,30,18,6,12,0.400,10
g10-geometry-foundations,gf-find-motion__numeric,numeric,pool-above-window,30,18,6,12,0.400,10
a2-statistics,si-margin__dragBucket,dragBucket,pool-above-window,30,18,5,12,0.400,10
a2-trig,tf-identity__mcq,mcq,pool-above-window,30,18,5,12,0.400,10
g10-polygons-quadrilaterals,pq-interior-sum__numeric,numeric,pool-above-window,30,18,5,12,0.400,10
whole-times-fraction,toMixed,fractionEntry,pool-above-window,34,18,3,16,0.471,10
pr-graph-rate-g7,graphStoryPlot,plotPoint,pool-above-window,125,19,52,106,0.848,10
seq-recursive,geometric,numeric,pool-above-window,50,19,18,31,0.620,10
deriv-explog,lnChain,numeric,pool-above-window,50,19,18,31,0.620,10
a1-exponential,exp-match-base__numeric,exactNumberLab,pool-above-window,42,19,14,23,0.548,10
unit-frac-divide,unitDenominatorNumeric,numeric,pool-above-window,34,19,13,15,0.441,10
skip-count,nthTerm,numeric,pool-above-window,34,19,12,15,0.441,10
g2-fluency,FlMakeTenNumeric,numeric,pool-above-window,36,19,12,17,0.472,10
g1-shapes-measure,Smg1FourthsMcq,mcq,pool-above-window,34,19,11,15,0.441,10
to-polar,rPlusTheta,numeric,pool-above-window,34,19,9,15,0.441,10
parity,rowValue,numeric,pool-above-window,34,19,9,15,0.441,10
g8-tm-sphere-volume,tmSphereFormulaMatch,matchPairs,pool-above-window,30,19,9,11,0.367,10
k0-add-subtract,KoaWriteSubMcq,mcq,pool-above-window,30,19,9,11,0.367,10
g2-fluency,FlSums16Numeric,numeric,pool-above-window,36,19,9,17,0.472,10
a2-radicals,re-conjugates__buildExpression,buildExpression,pool-above-window,30,19,9,11,0.367,10
a2-statistics,si-experiment-design__mcq,mcq,pool-above-window,30,19,9,11,0.367,10
a2-statistics,si-null-model__dragOrder,dragOrder,pool-above-window,30,19,9,11,0.367,10
a2-statistics,si-read-poll__dragBucket,dragBucket,pool-above-window,30,19,9,11,0.367,10
g10-constructions-proof,cp-perp-from-point__numeric,numeric,pool-above-window,30,19,9,11,0.367,10
g10-geometry-foundations,gf-reflection-rule__numeric,numeric,pool-above-window,30,19,9,11,0.367,10
metric-convert,rrCompareUnits,mcq,pool-above-window,30,19,8,11,0.367,10
unit-frac-divide,properPieces,numeric,pool-above-window,34,19,8,15,0.441,10
g2-add-subtract-100,ParitySumMcq,mcq,pool-above-window,30,19,8,11,0.367,10
g2-shapes-shares,Ssg2GridApplyRead,areaModel,pool-above-window,30,19,8,11,0.367,10
a2-complex,cn-formula-complex__buildExpression,buildExpression,pool-above-window,30,19,8,11,0.367,10
a2-transformations,ft-inverse-graph__mcq,mcq,pool-above-window,30,19,8,11,0.367,10
g10-constructions-proof,cp-conjecture-proof__numeric,numeric,pool-above-window,30,19,8,11,0.367,10
grid-count,colTrap,numeric,pool-above-window,30,19,7,11,0.367,10
