# sourceSeal=1116fa8 draws=24 — S242/GRB-04. Distinct ANSWERS, not distinct widgets.
# constant = many prompts, one answer: re-asking cannot measure anything. Some are legitimate
# invariance lessons and some are decoration; the distinction has to be read, not computed.
generator,form,widgetType,verdict,distinctPrompts,distinctAnswers,topAnswerShare,topAnswer,examplePrompt
g13-parametric-polar-calculus,parametric-polar-calculus__pc-vector-motion__mcq,mcq,constant,20,1,1,Yes — a = ⟨−cos t  −sin t⟩ has magnitude,A particle moves on the unit circle: r = ⟨cos t  sin t⟩. Its speed is 1 at every instant. 
orbit-ecc,flyby,mcq,constant,19,1,1,pass once and never return (unbound),An interstellar object passes the Sun on a path with e = 1.7. It will:
orbit-ecc,default,mcq,constant,19,1,1,nearly a perfect circle,A planet's orbit has eccentricity e ≈ 0.04. This means its orbit is:
g8-bv-outlier-impact,bvOutlierImpact,mcq,constant,19,1,1,It can pull the fitted line away from th,One point sits far above the main scatter-plot cloud. Why should you notice it before draw
g10-polygons-quadrilaterals,pq-square__numeric,numeric,constant,19,1,1,7.07,A square's DIAGONAL is 10. Its side (2 decimals)?  Reasoning check: Mark the given quantit
g12-limits-continuity,limits-continuity__lc-limit-idea__mcq,mcq,constant,19,1,1,5 (the approach wins),If f(x) approaches 5 as x → 3  but f(3) = 1 (a lone point off the curve)  then lim(x→3) f(
g12-trig-identities-equations,trig-identities-equations__ti-double-basic__mcq,mcq,constant,19,1,1,sin 40°,2 sin 20° cos 20° equals:  Reasoning check: Sketch or annotate the situation before enteri
range-floor,allRealsRange,mcq,constant,18,1,1,all real numbers,What is the range of y = x³?
g7-circle-area,circleUseCase,mcq,constant,18,1,1,Boundary: C = 2πr; covering: A = πr²,A designer needs edging around a circular garden and mulch filling the garden. Which formu
g8-esn-power-meaning,default,numeric,constant,18,1,1,1,Evaluate 2⁰ = ?
g8-bv-fit-idea,bvFitBalance,mcq,constant,18,1,1,No — the line is not balanced; most dots,A student draws a line along the bottom of a cloud  so almost every dot lies above it. Is 
g1-counting-120,To120Mcq,mcq,constant,18,1,1,101,Counting by ones  what comes right after 100?
g4-measure,mcLinePlotBuildMcq,mcq,constant,18,1,1,Two marks at 1/4  one at 1/2  and one at,The dataset is 1/4  1/4  1/2  3/4. Which line-plot description matches it?
g4-place-million,pvAcrossZerosMcq,mcq,constant,18,1,1,Each becomes 9 after passing one unit to,A borrow passes through two zeros. What happens to those crossed zeros?
a2-trig,tf-model__mcq,mcq,constant,18,1,1,It starts at the minimum height when t=0,Why might a ride-height model begin with −A cos(ωt) instead of +A sin(ωt)?
g10-polygons-quadrilaterals,pq-para-tests__numeric,numeric,constant,18,1,1,11,Quadrilateral ABCD has diagonals meeting at O  with AO = x + 4 and OC = 3x − 10. For what 
g13-derivatives-in-context,derivatives-in-context__dc-other-forms__numeric,numeric,constant,18,1,1,0,lim(x→∞) x/eˣ. Apply L'Hôpital and give the value.  Reasoning check: Name what stays fixed
line-of-fit,interceptZero,affineRelationshipLab,constant,17,1,1,0,A line of best fit is y = −5x. What is its y-intercept?
nl-unit,fixMistake,numberLinePlace,constant,17,1,1,1,Ada placed 1/8 at the 8th mark and got it wrong. Place 1/8 where it really belongs.
attributes,cgSquareExtra,mcq,constant,17,1,1,All four sides are equal,Every square is a rectangle. Which EXTRA defining attribute makes a square more specific t
line-plot,ddShapeOutlier,mcq,constant,17,1,1,It is an outlier  isolated beyond a gap ,In the data 2  2  2  3  3  4  5  9  what role does 9 play?
tiling,whichTiles,mcq,constant,17,1,1,Equal square tiles placed edge to edge i,Which covering measures a rectangular floor's area without gaps or overlaps?
pr-constant-k-g7,rrToolChoice,mcq,constant,17,1,1,A ratio table with one row for each part,You need recipe amounts for 4 different party sizes from one ratio. Which tool fits the jo
g8-tm-rigid-motion,tmReflectProperty,mcq,constant,17,1,1,Corresponding lengths and angles stay eq,Which statement is always true after a figure is reflected across a line?
g8-tm-congruence,default,mcq,constant,17,1,1,All corresponding side lengths and angle,If two polygons are congruent  what must be true?
g1-counting-120,ChartPatternMcq,mcq,constant,17,1,1,The same ones digit,What do numbers in the same column of a 1–120 chart share?
g4-lines-angles,laParallelLinesMcq,mcq,constant,17,1,1,They stay the same distance apart and ne,Which statement is always true about two parallel lines in a plane?
g4-measure,mcProtractorReadingMcq,mcq,constant,17,1,1,The scale that begins with 0° on the rig,A ray starts at the protractor's 0° mark on the right. Which scale should you read?
a1-solving-equations,both-sides-inequality__mcq,mcq,constant,17,1,1,When multiplying or dividing both sides ,When solving a both-sides inequality  when must the inequality symbol reverse?
a1-solving-equations,multi-literal__mcq,mcq,constant,17,1,1,x = (c - a)/2,Solve 2x + a = c for x.
a2-complex,cn-add-sub__mcq,mcq,constant,17,1,1,They are coefficients of different basis,Why do real and imaginary parts combine separately in a complex sum?
a2-logarithms,lg-graph__mcq,mcq,constant,17,1,1,Its domain is x>0 and it has vertical as,Which statement is true for y=log_b(x)  where b>1?
a2-polynomials,pf-anatomy__mcq,mcq,constant,17,1,1,f(x)=3/x + 2,Which expression is not a polynomial function?
a2-polynomials,pf-long-div__mcq,mcq,constant,17,1,1,Verify dividend = divisor·quotient + rem,What is the fastest complete check of a polynomial division result?
a2-radicals,re-solve__mcq,mcq,constant,17,1,1,Check every candidate in the original eq,What final step is mandatory after solving a radical equation by squaring?
a2-statistics,si-margin__mcq,mcq,constant,17,1,1,45% to 51%,A poll reports 48% with margin of error 3 points. Which interval matches?
a2-statistics,si-standard-error__mcq,mcq,constant,17,1,1,Neither; with tiny sampling fractions th,Two 1 000-person polls sample from populations of 100 000 and 100 million. Which has notic
a2-trig,tf-identity__mcq,mcq,constant,17,1,1,Both 0.8 and −0.8 have square 0.64.,Why does solving cos²θ=0.64 first give cosθ=±0.8?
g10-constructions-proof,cp-converses__numeric,numeric,constant,17,1,1,34,Two lines are cut by a transversal. The co-interior (same-side interior) angles are (2x + 
g10-polygons-quadrilaterals,pq-exterior-sum__numeric,numeric,constant,17,1,1,70,Four exterior angles of a pentagon are 85°  60°  70°  and 75°. The fifth?  Reasoning check
g10-polygons-quadrilaterals,pq-interior-sum__numeric,numeric,constant,17,1,1,115,Four angles of a pentagon are 100°  110°  95°  and 120°. Find the fifth.  Reasoning check:
g10-right-triangles,rt-454590-apply__numeric,numeric,constant,17,1,1,11.31,A square has sides of 8 cm. How long is its diagonal (cm  2 decimals)?  Reasoning check: U
g10-right-triangles,rt-pythagorean__numeric,numeric,constant,17,1,1,10,A right triangle has legs 6 and 8. Find the hypotenuse.  Reasoning check: Mark the given q
g10-right-triangles,rt-trig-constant__numeric,numeric,constant,17,1,1,1,Using the 45-45-90 ratio (legs 1  1  hypotenuse √2): what is tan 45° exactly?  Reasoning c
g10-similarity,sy-sas-similar__numeric,numeric,constant,17,1,1,15,Triangles share angle A. AD = 4  AB = 10  and AE = 6. For the triangles to be similar by S
g10-triangle-congruence,tc-cpctc__numeric,numeric,constant,17,1,1,15,△ABC ≅ △DEF has been proven. If AB = 15  what is DE?  Reasoning check: Sketch the relation
g10-triangle-congruence,tc-isosceles-converse__numeric,numeric,constant,17,1,1,60,A triangle has two base angles measuring (3x)° and (2x + 20)°  and they are equal. Find th
g12-trig-graphs-inverses,trig-graphs-inverses__tg-tan-transform__numeric,numeric,constant,17,1,1,3,The first positive wall of y = tan(x − π/6) is at x = 2π/n. What is n?  Reasoning check: M
g13-curve-analysis,curve-analysis__ca-inflection__numeric,numeric,constant,17,1,1,2,f(x) = x⁴ − 4x³. How many inflection points does it have?  Reasoning check: Use the visibl
g13-derivative-rules,derivative-rules__dr-derivative-function__numeric,numeric,constant,17,1,1,-8,For f(x) = x²  find f′(−4).  Reasoning check: Name what stays fixed before changing or com
g6-data-literacy,ddStatDefinition,mcq,constant,16,1,1,It expects the individual answers to var,A class asks   How many goals scored this season for each of the players on a team?  What 
g6-data-literacy,ddDataMixedQuestions,mcq,constant,16,1,1,The values answer different questions  s,A sheet accidentally mixes answers for  minutes read  and  number of siblings  into one li
g6-center-spread,ddCenterTypical,mcq,constant,16,1,1,The median — the high outlier would pull,A report needs one number for a typical value in salaries in a small company with one exec
orbit-ecc,reflector,mcq,constant,16,1,1,parabola,A satellite dish concentrates parallel incoming signals at one point. Its cross-section is
box-volume,volumeFormula,mcq,constant,16,1,1,V = B × h,A prism has base area B and height h. Which formula gives its volume?
g8-tm-congruence,tmCongruenceMeaning,mcq,constant,16,1,1,All corresponding side lengths and angle,If two polygons are congruent  what must be true?
g8-bv-fit-idea,default,mcq,constant,16,1,1,No — it should be close to and balanced ,Must a line of best fit pass through an observed data point?
g8-bv-judge-fit,bvJudgeDistance,mcq,constant,16,1,1,The overall distances from the dots to t,Which single idea most directly measures how well a line fits a scatter plot?
g8-bv-categorical-association,bvCatWhyRates,mcq,constant,16,1,1,Rates adjust for group size  so the comp,Why compare relative frequencies instead of raw counts when two table rows have different 
g1-counting-120,MixJumpsMcq,mcq,constant,16,1,1,The tens digit,A jump of ten changes which place-value digit?
g1-shapes-measure,Smg1HalvesMcq,mcq,constant,16,1,1,A half,A shape is split into 2 equal parts. What is each part called?
g1-shapes-measure,Smg1HalvesFourthsMcq,mcq,constant,16,1,1,A fourth,Which is smaller: a half or a fourth?
g1-shapes-measure,Smg1SolidPartsMcq,mcq,constant,16,1,1,Cube,Which solid has 6 flat faces and no curved surface?
g4-lines-angles,laAngleFormationMcq,mcq,constant,16,1,1,A common endpoint called the vertex,What must two rays share in order to form an angle?
g4-place-million,pvSubtractMcq,mcq,constant,16,1,1,Break one unit from the next place left ,When the top digit in a subtraction column is too small  what should happen?
a2-complex,cn-method-choice__mcq,mcq,constant,16,1,1,The quadratic formula,Which method is guaranteed to solve every quadratic equation?
a2-polynomials,pf-div-theorems__mcq,mcq,constant,16,1,1,The remainder is 0,If f(5)=0  what must be true when f(x) is divided by x−5?
a2-polynomials,pf-long-div__numeric,exactNumberLab,constant,16,1,1,1,Find the remainder when x²+9x+21 is divided by x+4.
a2-polynomials,pf-turning__mcq,mcq,constant,16,1,1,4,Which number of turning points is possible for a degree-5 polynomial?
a2-statistics,si-bias-vs-variability__mcq,mcq,constant,16,1,1,It reduces random variability but does n,A huge voluntary online poll is strongly biased. What does the huge sample mainly improve?
a2-statistics,si-bias__mcq,mcq,constant,16,1,1,How many hours did you exercise last wee,Which survey question is least biased?
a2-statistics,si-causation__mcq,mcq,constant,16,1,1,The association may reflect confounding ,An observational study finds breakfast eaters score higher. What is the main limitation?
a2-statistics,si-ci-meaning__mcq,mcq,constant,16,1,1,The method is designed to capture the po,A 95% confidence interval is 44% to 52%. Which statement is appropriate?
a2-statistics,si-parameter-statistic__matchPairs,matchPairs,constant,16,1,1,{ Population mean μ : Population paramet,Match each quantity to its role.
a2-statistics,si-pvalue-idea__mcq,mcq,constant,16,1,1,Results at least this extreme are common,A p-value of 0.79 means what?
a2-statistics,si-sampling-dist__mcq,mcq,constant,16,1,1,It becomes narrower around the same para,What happens to a sampling distribution when n increases substantially?
a2-statistics,si-study-type__mcq,mcq,constant,16,1,1,Observational study,Researchers follow adults for ten years without assigning exercise. What type of study is 
a2-trig,tf-unit-circle__mcq,mcq,constant,16,1,1,Quadrant III,In which quadrant are both sine and cosine negative?
g10-circle-theorems,cr-arc-length__numeric,numeric,constant,16,1,1,96,A circle has radius 15  and an arc on it has length 8π. Find the arc's degree measure.  Re
g10-constructions-proof,cp-hexagon__numeric,numeric,constant,16,1,1,120,What is the measure of each INTERIOR angle of a regular hexagon  in degrees?  Reasoning ch
g10-constructions-proof,cp-perp-from-point__numeric,numeric,constant,16,1,1,0,Place the line on the x-axis and P at (0  4). The perpendicular dropped from P meets the l
g10-geometry-foundations,gf-find-motion__numeric,numeric,constant,16,1,1,4,Using the translation (x  y) → (x + 2  y + 4) from the last problem: point (2  2) lies ins
g10-geometry-foundations,gf-rotational-symmetry__numeric,numeric,constant,16,1,1,60,A regular hexagon has rotational symmetry of order 6. What is its SMALLEST matching rotati
g10-right-triangles,rt-306090-apply__numeric,numeric,constant,16,1,1,8.66,An equilateral triangle has sides of 10 cm. How tall is it (cm  2 decimals)?  Reasoning ch
g10-right-triangles,rt-triples__numeric,numeric,constant,16,1,1,50,Legs 30 and 40 — use a scaled triple to name the hypotenuse instantly.  Reasoning check: C
g10-similarity,sy-indirect__numeric,numeric,constant,16,1,1,20,A 5-ft person casts an 8-ft shadow while a building casts a 32-ft shadow. How tall is the 
g10-similarity,sy-proportions-figures__numeric,numeric,constant,16,1,1,6,A parallel line splits the sides: AD = 6  DB = 4  AE = 9. Find EC.  Reasoning check: Trace
g12-function-analysis,function-analysis__fna-one-to-one__numeric,exactNumberLab,constant,16,1,1,4,h(x) = |x|. What OUTPUT value do the inputs 4 and −4 collide at?  Reasoning check: Identif
g12-polar-parametric,polar-parametric__pp-parametrize__pointEntry,pointEntry,constant,16,1,1,[0 -1],For x = cos t  y = −sin t  where is the point at t = π/2?  Reasoning check: Identify the r
g12-trig-graphs-inverses,trig-graphs-inverses__tg-arccos__numeric,numeric,constant,16,1,1,4,arctan(1) = π/n. What is n?  Reasoning check: Identify the representation and the governin
g13-integration-accumulation,integration-accumulation__in-read-accumulation__numeric,numeric,constant,16,1,1,1,f(x) = x − 2 on [0  4]. How many turning points does A(x) = ∫₀ˣ f have?  Reasoning check: 
g13-integration-accumulation,integration-accumulation__in-signed-area__numeric,numeric,constant,16,1,1,-2,f(x) = x − 2. Find A(2) = ∫₀² (x − 2) dx.  Reasoning check: Name what stays fixed before c
g6-data-literacy,default,mcq,constant,15,1,1,It expects the individual answers to var,A class asks   How many goals scored this season for each of the players on a team?  What 
variable-meaning,independentLaps,mcq,constant,15,1,1,number of laps,A track is 200 metres per lap. Distance = 200 × (number of laps). Which is the independent
quadrilaterals,cgParallelogramNotGuaranteed,mcq,constant,15,1,1,It has a right angle,A shape is known only to be a parallelogram. Which property is NOT guaranteed?
shape-hierarchy,cgParallelogramTrapezoid,mcq,constant,15,1,1,Never — two parallel pairs cannot satisf,Using the definition “a trapezoid has exactly one pair of parallel sides ” is a parallelog
g7-sp-likelihood-words,spLikelihoodCertain,mcq,constant,15,1,1,certain,The probability of choosing a month that has at least 28 days is 1. Which word describes t
g8-esn-power-meaning,esnPowerZero,numeric,constant,15,1,1,1,Evaluate 2⁰ = ?
g8-bv-fit-idea,bvFitTouch,mcq,constant,15,1,1,No — it should be close to and balanced ,Must a line of best fit pass through an observed data point?
g2-add-subtract-100,ParitySumMcq,mcq,constant,15,1,1,even,Every double  such as 7 + 7  is always…
g4-lines-angles,laPerpendicularLinesMcq,mcq,constant,15,1,1,They intersect to form four right angles,What identifies two perpendicular lines?
g4-measure,mcDegreeMeasurementMcq,mcq,constant,15,1,1,Degrees,Which unit is used to measure the amount an angle turns?
g4-place-million,pvAddMcq,mcq,constant,15,1,1,Write 6 in the column and carry 1 to the,A column sum is 16. What should be written and carried?
a1-solving-equations,literal-eq__mcq,mcq,constant,15,1,1,t = d/r,Using d = rt  which formula solves for t?
a2-complex,cn-cts-solve__mcq,mcq,constant,15,1,1,It preserves equality while creating a p,Why is the same square added to both sides when completing the square?
a2-transformations,ft-arith__mcq,mcq,constant,15,1,1,f(x) − g(x),What does (f − g)(x) mean?
a2-logarithms,lg-e__mcq,mcq,constant,15,1,1,Faster than 2^x but slower than 3^x,For large positive x  where does e^x grow relative to 2^x and 3^x?
a2-logarithms,lg-ln__mcq,mcq,constant,15,1,1,ln 5 + ln x − ln y,Expand ln(5x/y).
a2-rationals,rf-divide__mcq,mcq,constant,15,1,1,Multiply by the reciprocal of the diviso,What is the first algebraic move when dividing rational expressions?
a2-rationals,rf-equations__mcq,mcq,constant,15,1,1,Clearing denominators can produce exclud,Why must solutions of rational equations be checked in the original equation?
a2-statistics,si-claim-capstone__mcq,mcq,constant,15,1,1,Who was able and willing to respond?,A voluntary survey of 300 000 app users reports 78% satisfaction. What question should be 
a2-statistics,si-claim-design__mcq,mcq,constant,15,1,1,App use is associated with longer sleep ,An observational study finds app users sleep longer. Which claim is defensible?
a2-statistics,si-claim-overreach__mcq,mcq,constant,15,1,1,61% of all national commuters support a ,A random sample from one city station finds 61% support a fare freeze. Which claim overrea
a2-statistics,si-null-model__mcq,mcq,constant,15,1,1,The null hypothesis that the labels are ,What assumption is represented when labels are shuffled in a randomization test?
a2-statistics,si-parameter-statistic__mcq,mcq,constant,15,1,1,The statistic has high sampling variabil,Twenty small polls vary widely around the same center. What does that show?
a2-statistics,si-read-poll__mcq,mcq,constant,15,1,1,The poll does not clearly establish a le,Candidate A has 48%  B has 45%  each with ±3 points. What is justified?
a2-statistics,si-sampling-variability__mcq,mcq,constant,15,1,1,Whether the estimator is centered on the,Repeated honest random samples land on both sides of the true value. What does the center 
a2-statistics,si-significance-limits__mcq,mcq,constant,15,1,1,The effect is statistically detectable b,A huge randomized study finds a 0.3-point score increase with p<0.001. What is the best co
g10-circle-theorems,cr-thales__numeric,numeric,constant,15,1,1,90,AB is a diameter of a circle and C is any other point on the circle. Angle ACB measures ? 
g10-circle-theorems,default,numeric,constant,15,1,1,96,A circle has radius 15  and an arc on it has length 8π. Find the arc's degree measure.  Re
g10-constructions-proof,cp-conjecture-proof__numeric,numeric,constant,15,1,1,1,A conjecture claims something is true for EVERY case. What is the smallest number of count
g10-constructions-proof,cp-parallel-through-point__numeric,numeric,constant,15,1,1,125,Across the same two parallel lines  the CO-INTERIOR (same-side interior) angle to that 55°
g10-coordinate-proofs,cx-classify-quad__numeric,numeric,constant,15,1,1,-1,Quadrilateral (0  0)  (5  0)  (8  4)  (3  4) — all four sides square to 25. Compute the pr
g10-right-triangles,rt-pythagorean-leg__numeric,numeric,constant,15,1,1,12,The hypotenuse is 13 and one leg is 5. Find the other leg.  Reasoning check: Write the rel
g10-right-triangles,default,numeric,constant,15,1,1,8.66,An equilateral triangle has sides of 10 cm. How tall is it (cm  2 decimals)?  Reasoning ch
g10-similarity,sy-criterion-choice__numeric,numeric,constant,15,1,1,15,In △ABC  DE ∥ BC with D on AB and E on AC. AD = 6  DB = 4  and AE = 9. Find AC.  Reasoning
g10-similarity,sy-geometric-mean__numeric,numeric,constant,15,1,1,9,The altitude to a hypotenuse is 6  and one segment of the hypotenuse is 4. What is the OTH
g10-triangle-congruence,tc-cpctc-practice__numeric,numeric,constant,15,1,1,9,△ABC ≅ △DEF is proven  and BC = 9. By CPCTC  what is EF?  Reasoning check: Use the labeled
g10-triangle-congruence,tc-hl__numeric,numeric,constant,15,1,1,15,Two right triangles each have hypotenuse 17 and one leg 8. What is the length of the other
g12-function-analysis,function-analysis__fna-inverse-verify__numeric,exactNumberLab,constant,15,1,1,-3,f(x) = 2x + 6  g(x) = (x − 6)/2. What is g(f(−3))?  Reasoning check: Sketch or annotate th
g12-function-analysis,function-analysis__fna-inverse-verify__pointEntry,pointEntry,constant,15,1,1,[10 2],The point (2  10) lies on the graph of f. Which point must lie on the graph of f⁻¹?  Reaso
g12-polar-parametric,polar-parametric__pp-nth-roots__numeric,numeric,constant,15,1,1,0.7071,The principal (k = 0) square root of i has what real part? (To four decimals.)  Reasoning 
g12-polar-parametric,polar-parametric__pp-parametric__numeric,numeric,constant,15,1,1,-2,For x = 2cos t  y = 2sin t  what is the x-coordinate at t = π?  Reasoning check: Identify 
g12-polar-parametric,polar-parametric__pp-polar-form__numeric,numeric,constant,15,1,1,4.19,The argument of z = −1 − i√3 (in [0  2π)) is 4π/3. Enter it as a decimal to hundredths.  R
g12-polar-parametric,polar-parametric__pp-polar-system__pointEntry,pointEntry,constant,15,1,1,[-2 0],Where is the polar point (2  π) in rectangular coordinates?  Reasoning check: Name what st
g12-trig-graphs-inverses,trig-graphs-inverses__tg-composition-trap__numeric,numeric,constant,15,1,1,0.4,What is arcsin(sin(0.4))? (0.4 radians.)  Reasoning check: Identify the representation and
g13-derivative-rules,derivative-rules__dr-sign-of-derivative__numeric,numeric,constant,15,1,1,3,f′(x) = 3x² − 12. How many INTEGER values of x have f falling (f′ < 0)?  Reasoning check: 
g13-derivative-rules,derivative-rules__dr-tangent-line__numeric,numeric,constant,15,1,1,-9,f(x) = x²  so f′(x) = 2x. Find the y-intercept of the tangent line at x = 3.  Reasoning ch
g13-derivatives-in-context,derivatives-in-context__dc-speed__numeric,numeric,constant,15,1,1,2,v = 3(t − 1)(t − 3)  a = 6t − 12  on [0  4]. On how many intervals is the particle SPEEDIN
g13-differential-equations,differential-equations__de-slope-field__numeric,numeric,constant,15,1,1,2,For dy/dx = x  what is the slope of the field at the point (2  7)?  Reasoning check: Mark 
fraction-benchmark,default,rationalCompare,constant,14,1,1, lt ,Is 1/5 more than  less than  or exactly 1/2?
g1-shapes-measure,Smg1FourthsMcq,mcq,constant,14,1,1,A fourth,A shape is split into 4 equal parts. What is each part called?
g4-lines-angles,laSymmetryConceptMcq,mcq,constant,14,1,1,Folding on the line makes the two halves,What makes a line a line of symmetry for a figure?
g4-lines-angles,laSymmetryApplicationMcq,mcq,constant,14,1,1,It is the same perpendicular distance fr,A point is reflected across a vertical line of symmetry. What must be true of the image po
a1-solving-equations,literal-frac__mcq,mcq,constant,14,1,1,x = (y - b)/m,From y = mx + b  which formula solves for x?
a1-systems,eliminate-scale-both__mcq,mcq,constant,14,1,1,infinitely many solutions,If elimination reduces a system to 0 = 0  how many solutions does the system have?
a2-polynomials,pf-factor-thm__numeric,numeric,constant,14,1,1,0,Find the remainder when f(x)=x³+3x− 14 is divided by x−2.
a2-radicals,re-extraneous__mcq,mcq,constant,14,1,1,Squaring loses sign information and is n,Why can squaring a radical equation create an extraneous solution?
a2-rationals,rf-variation__mcq,mcq,constant,14,1,1,Speed and travel time for a fixed distan,Which pair naturally varies inversely?
a2-statistics,si-null-model__dragOrder,dragOrder,constant,14,1,1,[ State the null model   Shuffle labels ,Order the steps of a randomization test.
a2-statistics,si-read-poll__dragOrder,dragOrder,constant,14,1,1,[ Who was sampled and how?   What is the,Order the questions that best protect a poll interpretation.
a2-statistics,si-study-type__matchPairs,matchPairs,constant,14,1,1,{ Randomized experiment : Causal effect ,Match each design to its strongest conclusion.
g10-constructions-proof,cp-proving-transversal__numeric,numeric,constant,14,1,1,55,Across two parallel lines  alternate interior angles measure (2x + 15)° and (4x − 25)°. Fi
g10-similarity,sy-sss-similar__numeric,numeric,constant,14,1,1,21,Triangle A has sides 5  7  10; similar triangle B has scale factor 3. What is B's side cor
g10-solid-geometry,sg-cavalieri-limits__numeric,exactNumberLab,constant,14,1,1,208,Same sheared prism (4×4 base  vertical height 12  slant edge 13). Its LATERAL surface area
g12-polar-parametric,polar-parametric__pp-eliminate__numeric,numeric,constant,14,1,1,9,Eliminate t from x = t²  y = t to get x = y². What is x when y = 3?  Reasoning check: Tran
g12-polar-parametric,polar-parametric__pp-parametrize__numeric,numeric,constant,14,1,1,3,For the circle x = 3cos t  y = 3sin t  what is the y-coordinate at t = π/2?  Reasoning che
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-boundary-rule__numeric,numeric,constant,14,1,1,2,For x(x − 6)/(x − 3) ≤ 0  how many boundary points are INCLUDED (closed) in the solution? 
g12-trig-graphs-inverses,trig-graphs-inverses__tg-arcsin__numeric,numeric,constant,14,1,1,2,arcsin(1) = π/n. What is n?  Reasoning check: Name what stays fixed before changing or com
g12-trig-identities-equations,trig-identities-equations__ti-double-action__numeric,numeric,constant,14,1,1,6.28,Solve cos 2x = cos x on [0  2π). What is the SUM of the solutions  to hundredths?  Reasoni
g13-curve-analysis,curve-analysis__ca-first-derivative-test__signChart,signChart,constant,14,1,1,[ -   -   + ],f(x) = x⁴ − 4x³  so f′(x) = 4x²(x − 3). Set the signs of f′ — and watch the double root.  
g13-curve-analysis,curve-analysis__ca-three-charts__numeric,numeric,constant,14,1,1,1,f(x) = x³ − 6x² + 5. How many inflection points does it have?  Reasoning check: Use the vi
g13-derivative-rules,derivative-rules__dr-differentiability__numeric,numeric,constant,14,1,1,3,A function has a jump at x = −2  a corner at x = 0  a vertical tangent at x = 3  and a smo
g10-conditional-probability,conditional-probability__cpr-indep-vs-disjoint__numeric,numeric,constant,14,1,1,0,P(A) = 0.5  P(B) = 0.3  and A and B are **mutually exclusive**. Find P(A | B).  Reasoning 
g10-conditional-probability,conditional-probability__cpr-marginal-prob__numeric,numeric,constant,14,1,1,0.55,P(plays a sport). Give a decimal.  Reasoning check: Mark the known quantities  then choose
g10-conditional-probability,conditional-probability__cpr-table-union__numeric,numeric,constant,14,1,1,0.85,P(takes the bus **or** plays a sport). Give a decimal.  Reasoning check: Identify the repr
g6-data-literacy,ddVariabilityExpected,mcq,constant,13,1,1,The variability is expected and can be a,A survey of students in a class produces a different answer from every person. What is the
sr-recursive,needPrior,mcq,constant,13,1,1,the term right before it,To compute a term from a recursive rule  what must you already know?
g7-sp-likelihood-words,spLikelihoodImpossible,mcq,constant,13,1,1,impossible,The probability of drawing a blue counter from a bag containing only red and yellow counte
g8-tm-rigid-motion,tmRotateProperty,mcq,constant,13,1,1,Distances and angles are preserved while,Which statement describes every rotation of a figure?
a2-transformations,ft-inverse-graph__mcq,mcq,constant,13,1,1,y = x,A function and its inverse are mirror images across which line?
a2-radicals,re-models__mcq,mcq,constant,13,1,1,s is multiplied by 2,In a model s=√(24d)  what happens when d is multiplied by 4?
a2-rationals,rf-reciprocal__mcq,mcq,constant,13,1,1,A nonzero numerator divided by a finite ,Why can f(x)=1/x never equal 0?
a2-statistics,si-ci-meaning__matchPairs,matchPairs,constant,13,1,1,{ Larger sample : Narrower interval   Hi,Match each change to its effect on a confidence interval.
a2-statistics,si-claim-design__matchPairs,matchPairs,constant,13,1,1,{ Random sample survey : Generalize an a,Match each study design to the strongest supported claim.
g12-function-analysis,function-analysis__fna-graph-read__numeric,numeric,constant,13,1,1,0,For g(x) = −(x − 2)² + 9  what is g(5)?  Reasoning check: Sketch or annotate the situation
g12-limits-continuity,limits-continuity__lc-dne__numeric,numeric,constant,13,1,1,6,Near x = 5  f approaches 6 from the left AND 6 from the right. What is lim(x→5) f(x)?  Rea
g12-polar-parametric,polar-parametric__pp-circles__numeric,numeric,constant,13,1,1,3,What is the radius of the circle r = 6 sin θ?  Reasoning check: Mark the known quantities 
g12-polar-parametric,polar-parametric__pp-circles__pointEntry,pointEntry,constant,13,1,1,[0 2],Where is the center of the circle r = 4 sin θ?  Reasoning check: Identify the representati
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-conjugate__numeric,exactNumberLab,constant,13,1,1,4,Multiply the conjugate pair: (x − 2i)(x + 2i) = x² + c. What is c?  Reasoning check: Use t
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-ineq-scratch__numeric,numeric,constant,13,1,1,3,How many INTEGER solutions does x² + 8 ≤ 6x have?  Reasoning check: Mark the known quantit
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-rearrange__numeric,numeric,constant,13,1,1,9,How many INTEGERS x with −3 ≤ x ≤ 6 satisfy x/(x − 2) ≤ 3?  Reasoning check: Translate the
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-rrt-test__numeric,exactNumberLab,constant,13,1,1,0,Same f. Test c = 2: what is f(2)?  Reasoning check: Identify the representation and the go
g12-trig-graphs-inverses,trig-graphs-inverses__tg-inverse-graphs__numeric,numeric,constant,13,1,1,0,What is arccos(1)?  Reasoning check: Name what stays fixed before changing or computing an
g13-curve-analysis,curve-analysis__ca-read-f-prime__numeric,numeric,constant,13,1,1,1,A graph of f′ touches the axis at x = 1 without crossing  and crosses it at x = 4. How man
g13-derivative-rules,derivative-rules__dr-chain-nested__numeric,numeric,constant,13,1,1,1,f(x) = x(2x + 1)³. Find f′(0).  Reasoning check: Sketch or annotate the situation before e
