figure_id,authored_uses,grade_span,sample_lessons,current_role,priority,decision,requirement
count-on-hops,798,0|1|2|3|4|5,koa-01-01:c1|koa-01-01:c2|koa-01-02:c1|koa-01-02:c2|koa-01-03:c1|koa-01-03:c2,concept-support,P0,REDESIGN_OR_VALIDATE_AT_SCALE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
fm-groups,2,5,fm-02-01:c1|fm-02-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
fm-multiply-across,2,5,fm-03-02:c1|fm-03-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
fm-subtract-unlike,2,5,fm-01-03:c1|fm-01-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
four-quadrant-plane,2,6,ns-04-03:c1|ns-04-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
frac-compare-same-denom,2,3,fr-04-01:c1|fr-04-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
frac-compare-wholes,2,3,fr-04-04:c1|fr-04-04:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
frac-equiv-half,2,3,fr-03-02:c1|fr-03-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
frac-equiv-numline,2,3,fr-03-01:c1|fr-03-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
frac-numline-fourths,2,3,fr-02-01:c1|fr-02-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
frac-numline-pastone,2,3,fr-02-04:c1|fr-02-04:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
frac-numline-threefourths,2,3,fr-02-03:c1|fr-02-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
frac-numline-unit,2,3,fr-02-02:c1|fr-02-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
frac-top-bottom,2,3,fr-01-04:c1|fr-01-04:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
frac-whole-disguise,2,3,fr-03-03:c1|fr-03-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
function-vs-not,2,8,fg-01-03:c1|fg-01-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
g7-triangle-inequality,2,7,g7-03b-01:c2|g7-04-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
geo3-misfit,2,3,geo-02-02:c1|geo-02-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
gf-reflections-signs,2,8|10,gf-03-02:c1|tm-01b-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
gf-translations-chain,2,8|10,gf-03-01:c3|tm-01b-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
histogram-scores,2,6,dd-02-02:c1|dd-02-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
hl-criterion,2,10,tc-02-01:c1|tc-02-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
hundred-more,2,1,c120-03-03:c1|c120-04-03:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
inscribed-angle-halves,2,10,cr-01-02:c1|cr-05-03:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
la-basics,2,4,la-01-01:c1|la-01-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
la-symmetry,2,4,la-04-01:c1|la-04-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
la-symmetry-letters,2,4,la-04-03:c1|la-04-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
la-symmetry-regular,2,4,la-04-02:c1|la-04-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
lc-approach-table,2,12,lc-01-01:c1|lc-01-02:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
lc-hole-graph,2,12,lc-01-01:c2|lc-01-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
lc-indeterminate,2,12,lc-02-02:c1|lc-02-03:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
lc-infinity-ha,2,12,lc-03-02:c1|lc-03-03:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
lc-jump-graph,2,12,lc-01-03:c1|lc-03-01:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
lc-secant-tangent,2,12,lc-05-01:c1|lc-05-02:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
les-infinite,2,8,les-02-02:c1|les-02-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
like-radicals,2,9,rad-02-01:c1|rad-02-03:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
magnitude-scale,2,8,esn-03-01:c1|esn-03-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mapping-diagram,2,8|9,fn-01-02:c1|fg-01-02:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mb-break-area,2,4,mb-03-02:c1|mb-03-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mb-factor-pairs,2,4,mb-02-01:c1|mb-02-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mb-more-vs-times,2,4,mb-01-03:c1|mb-01-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mb-multiples,2,4,mb-02-02:c1|mb-02-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mb-multistep,2,4,mb-05-02:c1|mb-05-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mb-pattern,2,4,mb-05-01:c1|mb-05-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mb-prime-composite,2,4,mb-02-03:c1|mb-02-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mb-remainder,2,4,mb-04-01:c1|mb-04-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mc-additive,2,4,mc-04-01:c1|mc-04-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mc-benchmark-angles,2,4,mc-04-03:c1|mc-04-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mc-classify-angles,2,4,mc-03-03:c1|mc-03-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mc-degree,2,4,mc-03-01:c1|mc-03-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mc-length-ladder,2,4,mc-01-02:c1|mc-01-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mc-mass-volume,2,4,mc-01-03:c1|mc-01-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mc-missing-angle,2,4,mc-04-02:c1|mc-04-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mc-prefixes,2,4,mc-01-01:c1|mc-01-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mc-protractor,2,4,mc-03-02:c1|mc-03-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mc-ruler-eighths,2,4,mc-05-01:c1|mc-05-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-area-breakapart,2,3,md-04-03:c1|md-04-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-area-grid,2,3,md-04-01:c1|md-04-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-area-lshape,2,3,md-04-04:c1|md-04-04:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-area-rows,2,3,md-04-02:c1|md-04-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-elapsed,2,3,md-01-03:c1|md-01-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-lineplot,2,3,md-03-04:c1|md-03-04:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-mass-scale,2,3,md-02-01:c1|md-02-03:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-missing-side,2,3,md-05-02:c1|md-05-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-pictograph,2,3,md-03-01:c1|md-03-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-same-area,2,3,md-05-03:c1|md-05-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
md3-time-twoways,2,3,md-01-02:c1|md-01-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mean-level-off,2,6,dd-03-01:c1|dd-03-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mean-outlier-pull,2,6,dd-03-03:c1|dd-03-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
midsegment,2,10,tc-03-03:c1|tc-03-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-add-table,2,3,mult-05-01:c1|mult-05-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-array,2,3,mult-01-02:c1|mult-01-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-break-apart,2,3,mult-03-05:c1|mult-03-05:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-double,2,3,mult-03-01:c1|mult-03-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-double-double,2,3,mult-03-03:c1|mult-03-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-equal-groups,2,3,mult-01-01:c1|mult-01-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-even-odd,2,3,mult-05-03:c1|mult-05-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-fact-family,2,3,mult-02-04:c1|mult-02-04:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-fair-shares,2,3,mult-02-01:c1|mult-02-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-fives,2,3,mult-03-02:c1|mult-03-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-flip,2,3,mult-01-05:c1|mult-01-05:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-how-many-groups,2,3,mult-02-02:c1|mult-02-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-hundred-chart,2,3,mult-05-04:c1|mult-05-04:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-mult-table,2,3,mult-05-02:c1|mult-05-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-nines,2,3,mult-03-04:c1|mult-03-04:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
mult3-special,2,3,mult-02-05:c1|mult-02-05:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
multiplicity-bounce-cross,2,11,pf-02-02:c1|pf-05-01:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
ns-abs-compare,2,6,ns-05-02:c1|ns-05-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
ns-factor-distribute,2,6,ns-03-03:c1|ns-03-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
ns-flip-multiply,2,6,ns-01-02:c1|ns-01-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
ns-lcm,2,6,ns-03-02:c1|ns-03-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
number-line-jumps,2,3,mult-01-04:c1|mult-01-04:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pair-up,2,0|2,as100-05-01:c1|kc-02-01:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
parallelogram-congruent-triangles,2,10,pq-02-01:c1|pq-05-01:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
part-whole-bar,2,6,rr-01-02:c1|rr-01-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pc-polar-wedge,2,13,pc-02-01:c1|pc-02-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
place-by-place-compare,2,2,pv1000-03-02:c1|pv1000-03-03:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pp-projectile,2,12,pp-05-01:c1|pp-05-03:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pr-keep-flip-multiply,2,7,pr-01-01:c3|pr-01-03:c3,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pr-markdown,2,7,pr-04-02:c2|pr-04-02:c3,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pr-not-proportional,2,7,pr-02-01:c2|pr-02-01:c3,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pr-percent-change,2,7,pr-04-03:c2|pr-04-03:c3,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pr-percent-shortcut,2,7,pr-04-01:c2|pr-04-01:c3,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pr-unit-rate-point,2,7,pr-03-02:c2|pr-03-02:c3,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pr-y-equals-kx,2,7,pr-02-02:c3|pr-03b-01:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
proof-structure,2,10,cp-03-03:c1|cp-04-02:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv3-compare,2,3,pv-01-03:c1|pv-01-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv3-expanded,2,3,pv-01-02:c1|pv-01-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv3-halfway,2,3,pv-02-03:c1|pv-02-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv3-jump,2,3,pv-03-01:c1|pv-03-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv3-regroup,2,3,pv-03-02:c1|pv-03-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv3-zero-pattern,2,3,pv-04-02:c1|pv-04-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv4-carry-chain,2,4,pv2-04-01:c1|pv2-04-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv4-commas,2,4,pv2-02-03:c1|pv2-02-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv4-front-end,2,4,pv2-03-03:c1|pv2-03-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv4-periods,2,4,pv2-01-03:c1|pv2-01-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv4-read-aloud,2,4,pv2-02-02:c1|pv2-02-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv4-three-forms,2,4,pv2-02-01:c1|pv2-02-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
pv4-times10-shift,2,4,pv2-01-02:c1|pv2-01-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
quartile-fence,2,6,dd-04-02:c1|dd-04-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
range-stretch,2,6,dd-04-01:c1|dd-04-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
ratio-groups,2,6,rr-01-01:c1|rr-05-03:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
ratio-table,2,6,rr-02-01:c1|rr-02-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rno-change-sign,2,7,rno-02-02:c2|rno-02-02:c3,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rno-opposites-cancel,2,7,rno-01-02:c3|rno-01-03:c3,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rno-same-sign,2,7,rno-01-01:c3|rno-01-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rns-compare-irr,2,8,rns-03-03:c1|rns-03-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rns-convert-repeating,2,8,rns-01-03:c1|rns-01-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rns-density,2,8,rns-02-03:c1|rns-02-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rns-predict-decimal,2,8,rns-01-02:c1|rns-01-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rr-better-buy,2,6,rr-03-02:c1|rr-03-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rr-chain,2,6,rr-05-02:c1|rr-05-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rr-conversion,2,6,rr-05-01:c1|rr-05-01:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rr-equivalent,2,6,rr-01-03:c1|rr-01-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rr-percent-of,2,6,rr-04-02:c1|rr-04-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rr-percent-over,2,6,rr-04-03:c1|rr-04-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rr-predict,2,6,rr-03-03:c1|rr-03-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
rr-tools,2,6,rr-02-03:c1|rr-02-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
scatter-association,2,8,bv-01-01:c1|bv-01-02:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
sector-arc,2,10,cr-05-01:c1|cr-05-02:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
si-accuracy-precision,2,11,si-01-02:rc1|si-02-03:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
si-confounding,2,11,si-01-01:c2|si-01-01:rc1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
si-parameter-vs-statistic,2,11,si-02-01:c1|si-02-01:rc1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
si-poll-overlap,2,11,si-03-03:c1|si-03-03:rc1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
si-random-assignment,2,11,si-01-03:c1|si-01-03:rc1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
similar-triangles-slope,2,8,fg-02-02:c1|fg-02-02:c2,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
solid-shapes,2,1,smg1-01-02:c1|smg1-01-03:c1,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
sp-experimental,2,7,sp-03-02:c2|sp-03-02:c3,concept-support,P3,VALIDATE,Verify 390/768/1440 light/dark; preserve labels and relationships; prefer SVG/vector source and meaningful alt text.
