widget_type,authored_uses,grade_reach,manipulation,error_model,shared_correct_checkpoint,post_verdict_controls_unlocked,ungraded_state_recheck,wrong_state_feedback,reversible_manipulation,authored_domain,exploration_decision,exploration_contract,evidence_test,next_action
derivativeRuleLab,4,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
fractionGrid,4,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
integerChips,4,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
matrixTransform,4,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
polarTrace,4,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
riemannSum,4,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
absValueLine,3,1,1,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,REVERSIBLE_CHOICE_RESPONSE,src/components/session248.engineReversiblePlay.test.tsx,Choose another distance claim and return to the original claim through native radio buttons.
covariationScrubber,3,3,3,1,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
fractionCompare,3,1,1,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,REVERSIBLE_CHOICE_RESPONSE,src/components/session248.engineReversiblePlay.test.tsx,Choose another bar claim and return to the original claim through native buttons.
doubleNumberLine,3,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
lineRelationLab,3,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
numberLineRay,3,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
placeValue,3,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
relatedRatesLab,3,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
sampleSim,3,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
taylorApprox,3,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
extraneousRootLab,2,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
rotationLab,2,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
shuffleTest,2,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
verticalLineScanner,2,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
ciCapture,1,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
elapsedTime,1,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
fractionOfSet,1,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
triangleClosureLab,1,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,LEGACY_SCORE_CLASSIFICATION,,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
toggleExplore,0,0,1,1,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN_UNUSED,KEEP_WITH_EXPLORATION_REGRESSION,REVERSIBLE_CAUSAL_TOGGLE_UNUSED,src/components/session248.engineReversiblePlay.test.tsx,Toggle one switch off and on while the rule consequence updates; the corpus has no authored instance.
radicalCheck,0,0,0,1,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN_UNUSED,KEEP_WITH_EXPLORATION_REGRESSION,REVERSIBLE_CAUSAL_SCRUBBER_UNUSED,src/components/session248.engineReversiblePlay.test.tsx,Move the candidate slider away from and back to a solution while the two equations update; the corpus has no authored instance.
