lesson,grade,step,fk_grade,gap,meta_term,prompt
g2g-01-01,2,k1,6.3,4.3,,"To measure every ribbon in a group fairly, what must stay the SAME for all of them?"
kmd-01-01,0,i1,4.3,4.3,,"Measure the ribbon. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
kmd-01-01,0,i2,4.3,4.3,,"Measure the ribbon. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
kmd-02-04,0,i1,4.3,4.3,,"Measure the tower. Align zero with its start, then place 5 one-unit blocks with no gaps or overlaps."
kmd-02-04,0,i2,4.3,4.3,,"Measure the tower. Align zero with its start, then place 5 one-unit blocks with no gaps or overlaps."
mmt-03-02,2,ch1,6.3,4.3,,"How many cents is 2 quarters, 2 dimes, 3 nickels, and 4 pennies?"
kcw-03-02,0,i1,4.3,4.3,,The card orders 7. Build exactly that many.
kcw-03-02,0,i2,4.3,4.3,,The card orders 7. Build exactly that many.
kgb-01-04,0,i1,4.3,4.3,,"Measure the square's side. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
kgb-01-04,0,i2,4.3,4.3,,"Measure the square's side. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
geo-03-01,3,i2,7.3,4.3,,"Tap every shape that is split into EQUAL parts (any shape of piece, as long as the sizes match)."
as-04-01,1,i2,5.2,4.2,,Match each addition to the total it makes.
as-04-02,1,i1,5.2,4.2,,Match each addition to the amount it equals.
as-04-02,1,i2,5.2,4.2,,Match each addition to the amount it equals.
g1t-01-01,1,k3,5.2,4.2,,"Maggie finds 3 pinecones, then 6 more, then 4 more. Which equation matches?"
g1t-02-02,1,k1,5.2,4.2,,"Maggie finds 6 pinecones, then 4 more, then 2 more. Which equation matches?"
g1t-02-02,1,k3,5.2,4.2,,"Maggie finds 4 pinecones, then 6 more, then 2 more. Which equation matches?"
c120-01-02,1,k1,5.2,4.2,,What number comes right after 39?
c120-01-02,1,k2,5.2,4.2,,What number comes right after 49?
c120-03-02,1,ch1,5.2,4.2,,Write 'eighteen' as a numeral.
c120-03-03,1,k1,5.2,4.2,,What number comes right after 100?
md-02-01,3,i1,7.2,4.2,,Which unit keeps each object's number friendly — grams or kilograms?
g4m-02-01,4,i1,8.2,4.2,,38 × 52 — slide to estimate the product before computing it.
g4m-02-01,4,i2,8.2,4.2,,38 × 52 — slide to estimate the product before computing it.
mult-01-05,3,i1,7.2,4.2,,Why does turning an array sideways never change the total?
pv2-01-03,4,k2,8.2,4.2,,Which number equals 3 hundred-thousands + 2 ten-thousands + 5 ones?
pv-02-04,3,k2,7.2,4.2,,Estimate 512 − 289 by rounding each number to the nearest hundred first.
ks-03-01,0,i1,4.2,4.2,,"Measure the ribbon. Align zero with its start, choose one-unit blocks, and place four blocks with no gaps or overlaps."
ks-03-01,0,ch1,4.2,4.2,,"Two ribbons look equal, but one starts ahead of the other. Make the compare fair, then tap the longer ribbon."
kgb-02-02,0,i1,4.2,4.2,,"Measure the small square's side. Align zero with its start, then place 3 one-unit blocks with no gaps or overlaps."
kgb-02-02,0,i2,4.2,4.2,,"Measure the small square's side. Align zero with its start, then place 3 one-unit blocks with no gaps or overlaps."
c120-01-03,1,ch1,5.1,4.1,,"Drag into counting order, smallest first (it crosses 50!)."
g2g-02-01,2,k2,6.1,4.1,,The picture graph shows 5 pinecones pictures for Tuesday. Each picture equals 1 find. How many finds on Tuesday?
g2g-02-02,2,k3,6.1,4.1,,The picture graph shows 9 stickers pictures for Monday. Each picture equals 1 sticker. How many stickers on Monday?
dg4-03-06,4,k1,8.1,4.1,,A ribbon measures 42 centimeters. One meter is 100 centimeters. Write the ribbon's length in meters as a decimal.
dg4-03-06,4,k2,8.1,4.1,,A ribbon measures 7 centimeters. One meter is 100 centimeters. Write the ribbon's length in meters as a decimal.
dg4-03-06,4,k3,8.1,4.1,,A ribbon measures 65 centimeters. One meter is 100 centimeters. Write the ribbon's length in meters as a decimal.
dg4-03-06,4,ch1,8.1,4.1,,A ribbon measures 89 centimeters. One meter is 100 centimeters. Write the ribbon's length in meters as a decimal.
g2p-03-04,2,i1,6.1,4.1,,"A suspicious result, drawn: the 'computed gap' towers over the item it should fit inside. Which bar is longer?"
g2p-03-04,2,i2,6.1,4.1,,"A suspicious result, drawn: the 'computed gap' towers over the item it should fit inside. Which bar is longer?"
mmt-05-01,2,k3,6.1,4.1,,The picture graph shows 0 apple pictures for Saturday. Each picture equals 1 vote. How many votes on Saturday?
ks-03-03,0,ch1,4.1,4.1,,"You sort shapes: 3 circles, 4 squares, 2 triangles. Tap the BIGGEST group."
g2g-02-02,2,k2,6.0,4.0,,Wednesday has 6 votes and Thursday has 10 votes. How many more votes on Thursday?
g2g-02-04,2,ch1,6.0,4.0,,Wednesday has 5 votes and Thursday has 9 votes. How many more votes on Thursday?
g2g-03-02,2,k2,6.0,4.0,,Wednesday has 4 votes and Thursday has 9 votes. How many more votes on Thursday?
g2g-03-02,2,ch1,6.0,4.0,,Wednesday has 6 votes and Thursday has 8 votes. How many more votes on Thursday?
g4x-02-04,4,ch1,8.0,4.0,,Simplify 10/12 by dividing both by 2. What is the simplified numerator (top)?
fa-01-03,4,k1,8.0,4.0,,Simplify 10/20 by dividing both by 10. What is the simplified numerator (top)?
fa-01-03,4,k2,8.0,4.0,,What is the greatest common factor of 12 and 18 (useful for simplifying 12/18)?
g2p-01-02,2,k2,6.0,4.0,,The clothesline measures 56 cm and the jump rope measures 27 cm. How much longer is the clothesline?
g2p-03-04,2,ch1,6.0,4.0,,The clothesline measures 63 cm and the jump rope measures 39 cm. How much longer is the clothesline?
g1m-01-01,1,k2,5.0,4.0,,The ribbon is 10 cubes long and the pencil is 7 cubes long. How many cubes longer is the ribbon?
g1m-01-02,1,ch1,5.0,4.0,,The ribbon is 15 cubes long and the pencil is 11 cubes long. How many cubes longer is the ribbon?
g1m-01-04,1,k3,5.0,4.0,,The ribbon is 10 cubes long and the pencil is 8 cubes long. How many cubes longer is the ribbon?
g1m-01-04,1,ch1,5.0,4.0,,The ribbon is 16 cubes long and the pencil is 2 cubes long. How many cubes longer is the ribbon?
g1m-02-01,1,k2,5.0,4.0,,The ribbon is 9 cubes long and the pencil is 7 cubes long. How many cubes longer is the ribbon?
g1m-03-02,1,k3,5.0,4.0,,The ribbon is 13 cubes long and the pencil is 3 cubes long. How many cubes longer is the ribbon?
g2l-03-04,2,i1,6.0,4.0,,"Maggie hikes from marker 35, thirty meters onward: three ten-hops."
g2l-03-04,2,i2,6.0,4.0,,"Maggie hikes from marker 35, thirty meters onward: three ten-hops."
pv1000-03-03,2,i2,6.0,4.0,,"Drag the four numbers into order, least to greatest. Every one uses only the digits 2, 6, and 7."
smg1-01-03,1,k3,5.0,4.0,,Which solid has 6 flat faces and no curved surface?
smg1-02-01,1,i1,5.0,4.0,,"If you split a whole into halves, how many equal parts do you get?"
smg1-02-01,1,ch1,5.0,4.0,,"If a whole is split into halves, how many equal parts do you get?"
smg1-02-02,1,i3,5.0,4.0,,"If you split a whole into quarters, how many equal parts do you get?"
g1s-02-02,1,k1,4.9,3.9,,Two squares are pushed together side by side to make a rectangle. How many corners does a rectangle have?
g1s-03-03,1,k1,4.9,3.9,,Two squares are pushed together side by side to make a rectangle. How many sides does a rectangle have?
g2g-01-02,2,k1,5.9,3.9,,"You measured five ribbons: 6, 8, 6, 7, 6 cm. Which record keeps ALL the information?"
g2g-01-02,2,k3,5.9,3.9,,"You measured five ribbons: 6, 8, 6, 7, 6 cm. Which record keeps ALL the information?"
g2g-01-03,2,k3,5.9,3.9,,"You measured five ribbons: 6, 8, 6, 7, 6 cm. Which record keeps ALL the information?"
md-01-02,3,i2,6.9,3.9,,Order these times from EARLIEST to latest — translate the names first.
g4s-02-03,4,k1,7.9,3.9,,A student computes 7 × 68 − 90 and gets 386. Estimating gives 7 × 70 − 90 = 400. What follows?
g4s-02-03,4,k3,7.9,3.9,,A student computes 7 × 68 − 90 and gets 386. Estimating gives 7 × 70 − 90 = 400. What follows?
g4s-03-01,4,k3,7.9,3.9,,A student computes 7 × 68 − 90 and gets 386. Estimating gives 7 × 70 − 90 = 400. What follows?
tno-01-01,1,i1,4.9,3.9,,"Build 30 any way you like — all rods, rods and cubes, whatever lands on 30."
as-04-01,1,i1,4.8,3.8,,Use the family to match each subtraction to what's left.
g2a-01-03,2,k2,5.8,3.8,,What kind of number is an even number plus an even number?
g1s-01-02,1,k3,4.8,3.8,,Which of these can change WITHOUT a rectangle stopping being a rectangle?
c120-02-01,1,i2,4.8,3.8,,Drag these into the order they appear across a row.
c120-02-02,1,i2,4.8,3.8,,Drag these into the order they appear across the row.
dgr1-03-04,1,k1,4.8,3.8,,"Votes: Cats 8, Dogs 5, Fish 3. Which sentence tells the data's story truthfully?"
dgr1-03-04,1,k2,4.8,3.8,,"Votes: Sun 9, Rain 4, Snow 2. Which sentence tells the data's story truthfully?"
dgr1-03-04,1,k3,4.8,3.8,,"Votes: Ants 2, Bees 7, Moths 4. Which sentence tells the data's story truthfully?"
dgr1-03-04,1,ch1,4.8,3.8,,"Votes: Oak 5, Pine 8, Elm 3. Which sentence tells the data's story truthfully?"
g2g-02-03,2,k3,5.8,3.8,,You measured 20 ribbons to the nearest centimeter and want to see which lengths repeat. Which display fits?
g2g-03-03,2,k1,5.8,3.8,,You measured 20 ribbons to the nearest centimeter and want to see which lengths repeat. Which display fits?
g2n-03-02,2,i1,5.8,3.8,,"Backward check: starting from the back pair's 29, hop the remaining ten-addend."
g2n-03-02,2,i2,5.8,3.8,,"Backward check: starting from the back pair's 29, hop the remaining ten-addend."
fa-01-01,4,i2,7.8,3.8,,Sort each equivalent pair by what multiplier connects its top and bottom.
la-04-02,4,ch1,7.8,3.8,,A stained-glass window is shaped like a regular octagon (8 equal sides). How many lines of symmetry does it have?
la-04-03,4,k1,7.8,3.8,,Does the block capital letter T have a vertical line of symmetry?
kmd-01-01,0,k2,3.8,3.8,,Compare the three ribbons from one start line and tap the longest.
kmd-01-02,0,k2,3.8,3.8,,Compare the three ribbons from one start line and tap the longest.
kmd-01-02,0,k3,3.8,3.8,,Compare the three towers from one start line and tap the tallest.
kmd-01-02,0,ch1,3.8,3.8,,Compare the three ribbons from one start line and tap the longest.
kmd-02-01,0,k1,3.8,3.8,,Compare the three ribbons from one start line and tap the longest.
kmd-02-01,0,k2,3.8,3.8,,Compare the three pencils from one start line and tap the longest.
kmd-02-01,0,ch1,3.8,3.8,,Compare the three ribbons from one start line and tap the longest.
kmd-02-03,0,ch1,3.8,3.8,,Compare the three ribbons from one start line and tap the longest.
kmd-02-04,0,k1,3.8,3.8,,Compare the three towers from one start line and tap the tallest.
kmd-02-04,0,ch1,3.8,3.8,,Compare the three ribbons from one start line and tap the longest.
g1m-01-01,1,k1,4.8,3.8,,Two ribbons lie side by side but one starts 3 units further along. What must you do before deciding which is longer?
g1m-01-01,1,k3,4.8,3.8,,Two ribbons lie side by side but one starts 2 units further along. What must you do before deciding which is longer?
g1m-01-02,1,k2,4.8,3.8,,Two ribbons lie side by side but one starts 4 units further along. What must you do before deciding which is longer?
g1m-03-01,1,i1,4.8,3.8,,"Measure the scarf with one-unit cubes — eight, touching end to end."
g1m-03-01,1,i2,4.8,3.8,,"Measure the scarf with one-unit cubes — eight, touching end to end."
mb-02-03,4,i1,7.8,3.8,,Sort each number by how many different rectangles its tiles can make.
ks-02-03,0,i1,3.8,3.8,,You snap two same-size triangles together along their longest sides. Tap what they can make.
smg1-01-03,1,i3,4.8,3.8,,Touch each vertex of the rectangular prism to count it.
g3w-02-03,3,i1,6.8,3.8,,"Build the bar model: 4 equal parts of 7, before anything is crossed off."
g3w-02-03,3,i2,6.8,3.8,,"Build the bar model: 4 equal parts of 7, before anything is crossed off."
koa-01-01,0,k2,3.7,3.7,,One group has 4 apples. Another group has 3 apples. Put them together. How many apples in all?
koa-01-05,0,ch1,3.7,3.7,,One group has 4 apples. Another group has 3 apples. Put them together. How many apples in all?
koa-03-02,0,k1,3.7,3.7,,A basket holds 8 apples. Someone takes out 3. How many apples are in the basket now?
koa-03-02,0,ch1,3.7,3.7,,A basket holds 10 apples. Someone takes out 5. How many apples are in the basket now?
koa-03-09,0,i1,3.7,3.7,,"Hop forward zero times from 6 — that is, do not move."
g2b-02-02,2,i1,5.7,3.7,,Show 43 broken for subtraction: 3 rods and 13 cubes.
g2b-02-02,2,i2,5.7,3.7,,Show 43 broken for subtraction: 3 rods and 13 cubes.
g2a-02-03,2,i1,5.7,3.7,,Tap every counter in the LEFT column.
g2a-02-03,2,i2,5.7,3.7,,Tap every counter in the LEFT column.
k100-01-01,0,k3,3.7,3.7,,"Fill the missing number: 24, 25, __, 27."
k100-01-02,0,k3,3.7,3.7,,"Fill the missing number: 28, 29, __, 31."
k100-01-03,0,k3,3.7,3.7,,"Fill the missing number: 44, 45, __, 47."
k100-01-04,0,k3,3.7,3.7,,"Fill the missing number: 58, 59, __, 61."
k100-01-05,0,k3,3.7,3.7,,"Fill the missing number: 87, 88, __, 90."
k100-01-06,0,k2,3.7,3.7,,"Fill the missing number: 96, 97, __, 99."
k100-02-01,0,k3,3.7,3.7,,"Fill the missing number: 21, 22, __, 24."
k100-03-01,0,k3,3.7,3.7,,"Fill the missing number: 11, 12, __, 14."
k100-03-02,0,k3,3.7,3.7,,"Fill the missing number: 57, 58, __, 60."
k100-03-03,0,k3,3.7,3.7,,"Fill the missing number: 47, 48, __, 50."
k100-03-04,0,k3,3.7,3.7,,"Fill the missing number: 88, 89, __, 91."
k100-03-05,0,k3,3.7,3.7,,"Fill the missing number: 36, 37, __, 39."
k100-03-07,0,k3,3.7,3.7,,"Fill the missing number: 14, 15, __, 17."
fa-05-01,4,i2,7.7,3.7,,"Sort each product: does the result stay a proper fraction, or become improper (more than one whole)?"
fr-04-04,3,k3,6.7,3.7,,Two fractions can be fairly compared only when…
khm-01-02,0,i1,3.7,3.7,,"Count 6 buttons — one counter each, none skipped, none twice."
khm-01-02,0,i2,3.7,3.7,,"Count 6 buttons — one counter each, none skipped, none twice."
khm-01-04,0,k1,3.7,3.7,,"Counting beads in a circle, what must you remember?"
khm-01-05,0,i1,3.7,3.7,,Count 8 printed stars by marking — one counter stands for each tick.
khm-01-05,0,i2,3.7,3.7,,Count 8 printed stars by marking — one counter stands for each tick.
khm-03-06,0,k2,3.7,3.7,,Look at the ten-frame flash and choose the matching numeral.
khm-03-06,0,ch1,3.7,3.7,,Look at the ten-frame flash and choose the matching numeral.
kmd-01-02,0,i1,3.7,3.7,,"Measure the scarf. Align zero with its start, then place 5 one-unit blocks with no gaps or overlaps."
kmd-01-02,0,i2,3.7,3.7,,"Measure the scarf. Align zero with its start, then place 5 one-unit blocks with no gaps or overlaps."
kmd-02-01,0,i1,3.7,3.7,,"Measure the rope. Align zero with its start, then place 6 one-unit blocks with no gaps or overlaps."
kmd-02-01,0,i2,3.7,3.7,,"Measure the rope. Align zero with its start, then place 6 one-unit blocks with no gaps or overlaps."
kmd-02-02,0,i1,3.7,3.7,,The parcel sits on one pan. Slide blocks onto the other pan until the seesaw is level.
kmd-02-02,0,i2,3.7,3.7,,The parcel sits on one pan. Slide blocks onto the other pan until the seesaw is level.
kmd-02-03,0,i1,3.7,3.7,,"Measure the stick. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
kmd-02-03,0,i2,3.7,3.7,,"Measure the stick. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
kmd-03-01,0,i1,3.7,3.7,,Tap the group with the greatest number of shapes.
kmd-03-01,0,i2,3.7,3.7,,Tap the group with the greatest number of shapes.
kmd-03-01,0,k2,3.7,3.7,,"What makes a sort a SORT, instead of just piles?"
kmd-03-02,0,i1,3.7,3.7,,Tap the group with the greatest number of shapes.
kmd-03-02,0,k1,3.7,3.7,,"What makes a sort a SORT, instead of just piles?"
kmd-03-02,0,i2,3.7,3.7,,Tap the group with the greatest number of shapes.
kmd-03-02,0,k2,3.7,3.7,,Tap the group with the greatest number of shapes.
kmd-03-04,0,i1,3.7,3.7,,Tap the group with the greatest number of shapes.
kmd-03-04,0,k1,3.7,3.7,,Tap the group with the greatest number of shapes.
kmd-03-04,0,i2,3.7,3.7,,Tap the group with the greatest number of shapes.
md-04-03,3,k3,6.7,3.7,,Why does breaking a rectangle into two pieces keep the same total area?
mult-01-04,3,k1,6.7,3.7,,"A number line shows a rabbit making 4 hops of 5, starting at 0. Which multiplication matches the picture?"
mult-02-04,3,k1,6.7,3.7,,Which division belongs to the SAME family as 5 × 6 = 30?
mult-02-05,3,i2,6.7,3.7,,Sort each expression into the answer it equals.
mult-04-05,3,ch1,6.7,3.7,,"A florist has 4 bunches of 9 tulips. She estimates ""about 4 × 10 = 40."" Then she counts exactly and sells 12 tulips. Exactly how many tulips remain?"
kcw-01-03,0,ch1,3.7,3.7,,Look at the ten-frame flash and choose the matching numeral.
kcw-01-05,0,k2,3.7,3.7,,Look at the ten-frame flash and choose the matching numeral.
kcw-02-04,0,ch1,3.7,3.7,,Look at the ten-frame flash and choose the matching numeral.
kcw-03-03,0,i1,3.7,3.7,,Draw-and-count practice: show the 8 your pencil must produce.
kcw-03-03,0,k1,3.7,3.7,,"Asked to draw 5 circles, when should you stop drawing?"
kcw-03-03,0,i2,3.7,3.7,,Draw-and-count practice: show the 8 your pencil must produce.
kcw-03-03,0,ch1,3.7,3.7,,Look at the ten-frame flash and choose the matching numeral.
kcw-03-04,0,ch1,3.7,3.7,,Look at the ten-frame flash and choose the matching numeral.
pv1000-03-01,2,i2,5.7,3.7,,"What number is ""three hundred forty-seven""?"
ks-01-02,0,ch1,3.7,3.7,,"Three shapes: a big triangle pointing up, one pointing down, and a tiny one. Tap every triangle."
kgb-01-04,0,ch1,3.7,3.7,,What features decide the name of a flat shape?
kgb-02-02,0,k2,3.7,3.7,,What features decide the name of a flat shape?
kgb-02-03,0,ch1,3.7,3.7,,What features decide the name of a flat shape?
kgb-03-01,0,ch1,3.7,3.7,,What features decide the name of a flat shape?
kgb-03-02,0,i1,3.7,3.7,,"Measure the stick. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
kgb-03-02,0,i2,3.7,3.7,,"Measure the stick. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
ssg2-01-01,2,k1,5.7,3.7,,How many sides does an octagon have?
ssg2-01-01,2,k2,5.7,3.7,,How many sides does a heptagon have?
geo-01-01,3,k3,6.7,3.7,,Which of these is a DEFINING attribute — an actual entry rule for a shape?
dgr1-01-01,1,k1,4.6,3.6,,A class wants to collect data about favorite pets. Which is a good survey question?
dgr1-01-01,1,k3,4.6,3.6,,A class wants to collect data about favorite fruits. Which is a good survey question?
dgr1-01-02,1,k2,4.6,3.6,,A class wants to collect data about favorite sports. Which is a good survey question?
dg4-03-04,4,k2,7.6,3.6,,Drag the decimals into order from smallest to greatest.
dg4-03-04,4,k3,7.6,3.6,,Drag the decimals into order from smallest to greatest.
dg4-03-04,4,ch1,7.6,3.6,,Drag the decimals into order from smallest to greatest.
fa-01-02,4,i2,7.6,3.6,,Match each ×n/×n operation to its resulting fraction.
fa-03-01,4,i2,7.6,3.6,,"Sort each answer: is it a CORRECT sum, or does it fall into the denominator trap?"
la-03-03,4,k3,7.6,3.6,,Could a quadrilateral have EXACTLY three right angles (and a fourth angle that isn't 90°)?
la-04-01,4,ch1,7.6,3.6,,A stop sign is shaped like a regular octagon — 8 equal sides and 8 equal angles. Folding it straight down the middle through two opposite corners: do the halves match?
g4v-01-04,4,ch1,7.6,3.6,,"A route measures 5000 meters, and each kilometer is 1000 meters. Compute 5000 ÷ 1000."
g4v-02-01,4,k1,7.6,3.6,,"A jug measures 6 liters, and each liter is 1000 milliliters. Compute 6 × 1000."
g4v-02-01,4,ch1,7.6,3.6,,"A jug measures 3 liters, and each liter is 1000 milliliters. Compute 3 × 1000."
md-03-03,3,i2,6.6,3.6,,"Graph: apples 5, bananas 8, grapes 5, pears 2. Sort each statement."
mb-04-01,4,i2,7.6,3.6,,Match each division problem to its quotient and remainder.
g4p-03-04,4,k1,7.6,3.6,,"Extending a pattern, why is stating the RULE better than just writing the next number?"
g4p-03-04,4,ch1,7.6,3.6,,"Extending a pattern, why is stating the RULE better than just writing the next number?"
kgb-02-05,0,i1,3.6,3.6,,"Measure the box's edge. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
kgb-02-05,0,i2,3.6,3.6,,"Measure the box's edge. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
kgb-03-01,0,i1,3.6,3.6,,"Measure the drawn side. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
kgb-03-01,0,i2,3.6,3.6,,"Measure the drawn side. Align zero with its start, then place 4 one-unit blocks with no gaps or overlaps."
g3w-01-04,3,k1,6.6,3.6,,16 hikers split evenly into 8 groups. 16 ÷ 8 = ?
g3w-01-04,3,ch1,6.6,3.6,,9 hikers split evenly into 3 groups. 9 ÷ 3 = ?
g3w-02-03,3,ch1,6.6,3.6,,64 hikers split evenly into 8 groups. 64 ÷ 8 = ?
c120-03-01,1,k1,4.5,3.5,,What numeral is 6 tens and 2 ones?
c120-03-01,1,k3,4.5,3.5,,What numeral is 8 tens and 0 ones?
c120-03-02,1,k2,4.5,3.5,,What numeral is 1 ten and 6 ones?
dgr1-02-04,1,k2,4.5,3.5,,"Votes: Pizza 7, Tacos 5, Soup 2. Which got the FEWEST votes?"
g2p-01-01,2,k1,5.5,3.5,,The garden hose measures 33 cm and the watering can cord measures 24 cm. How much longer is the garden hose?
g2p-01-01,2,ch1,5.5,3.5,,The garden hose measures 54 cm and the watering can cord measures 28 cm. How much longer is the garden hose?
mmt-02-02,2,ch1,5.5,3.5,,A notebook is 11 inches long and a folder is 10 inches long. How many more inches long is the notebook?
smg1-02-01,1,i3,4.5,3.5,,A rectangle is split into halves. How many equal pieces are there?
smg1-02-02,1,k3,4.5,3.5,,A rectangle is cut into 4 pieces of different sizes. Are these fourths?
smg1-03-03,1,i2,4.5,3.5,,"The pen is 5 paperclips, the tape is 9 paperclips, and the key is 2 paperclips. Tap the LONGEST."
smg1-03-03,1,i3,4.5,3.5,,"The pen is 5 paperclips, the tape is 9 paperclips, and the key is 2 paperclips. Tap the SHORTEST."
g2g-01-03,2,i1,5.4,3.4,,"The record 6, 6, 7, 6, 8, 7 became this plot. Verify the transcription: count the x's above 6."
g2g-01-03,2,i2,5.4,3.4,,"The record 6, 6, 7, 6, 8, 7 became this plot. Verify the transcription: count the x's above 6."
g2g-02-01,2,ch1,5.4,3.4,,The picture graph shows 4 apples pictures for Thursday. Each picture equals 1 vote. How many votes on Thursday?
g2g-03-03,2,i1,5.4,3.4,,Votes for four trip spots — a category question. Build the fitting display.
g2g-03-03,2,i2,5.4,3.4,,Votes for four trip spots — a category question. Build the fitting display.
fa-03-02,4,i1,7.4,3.4,,Match each subtraction to its correct difference.
fr-01-01,3,k3,6.4,3.4,,Why do fractions DEMAND equal pieces?
la-04-02,4,k1,7.4,3.4,,A regular hexagon has 6 equal sides. How many lines of symmetry does it have?
mc-02-01,4,i1,7.4,3.4,,Match each rectangle's dimensions to its area.
g4v-01-01,4,k1,7.4,3.4,,The same rope is measured in meters and in centimeters. Which measurement has the LARGER number?
g4v-01-01,4,k3,7.4,3.4,,The same rope is measured in meters and in centimeters. Which measurement has the LARGER number?
g4v-02-04,4,k1,7.4,3.4,,A trail crew works 4 shifts of 45 minutes and finishes 13 minutes early. How many minutes?
g4v-02-04,4,ch1,7.4,3.4,,A trail crew works 5 shifts of 20 minutes and finishes 34 minutes early. How many minutes?
g4v-03-03,4,k1,7.4,3.4,,A trail crew works 8 shifts of 45 minutes and finishes 10 minutes early. How many minutes?
mult-01-01,3,i2,6.4,3.4,,Equal groups only! Tap every plate that has exactly 3 cookies.
mult-03-05,3,i1,6.4,3.4,,Split 8 × 7 into pieces you already own.
mult-05-02,3,k1,6.4,3.4,,Fold the multiplication table along its diagonal and the numbers match. Why?
mb-02-01,4,ch1,7.4,3.4,,A teacher arranges 24 kids into equal rows with nobody left out. How many DIFFERENT rectangular arrangements are possible (counting e.g. 3×8 and 8×3 as the same rectangle
pv2-03-03,4,k1,7.4,3.4,,"Using front-end estimation, what does 53,720 become?"
pv2-03-03,4,ch1,7.4,3.4,,"Two orders cost $38,600 and $24,900. Using front-end estimation (no exact adding), what's the quick estimated total?"
pv-01-01,3,i1,6.4,3.4,,"Show 234 with dots: stack 2 dots in the Hundreds column, 3 in Tens, and 4 in Ones (build each stack from the bottom)."
pv-01-02,3,k1,6.4,3.4,,Which is 608 exploded into worth-pieces?
pv-01-04,3,k2,6.4,3.4,,3 hundreds are traded down entirely into tens. How many tens?
kcm-02-01,0,k2,3.3,3.3,,Compare 4 and 4. Which statement is true?
kcm-03-02,0,k2,3.3,3.3,,Compare 2 and 2. Which statement is true?
kc-01-01,0,ch1,3.3,3.3,,These dots are scattered! How many?
khm-02-02,0,ch1,3.3,3.3,,Compare 4 and 4. Which statement is true?
khm-02-04,0,k2,3.3,3.3,,Compare 9 and 9. Which statement is true?
g1m-01-03,1,k2,4.3,3.3,,The ladder is 12 cubes long and the brush is 5 cubes long. How many cubes longer is the ladder?
g1m-02-01,1,ch1,4.3,3.3,,The ladder is 14 cubes long and the brush is 2 cubes long. How many cubes longer is the ladder?
g1m-03-02,1,k1,4.3,3.3,,"A stick measures 12 small cubes. Measured with units twice as long, will the count be more or fewer?"
g1m-03-02,1,ch1,4.3,3.3,,"A stick measures 8 small cubes. Measured with units twice as long, will the count be more or fewer?"
g1m-03-03,1,k1,4.3,3.3,,"A stick measures 12 small cubes. Measured with units twice as long, will the count be more or fewer?"
g1m-03-03,1,k2,4.3,3.3,,"A stick measures 11 small cubes. Measured with units twice as long, will the count be more or fewer?"
mult-02-03,3,i1,6.3,3.3,,"Turn 12 ÷ 4 into a multiplication, one step at a time."
mult-03-02,3,k4,6.3,3.3,,The minute hand starts at the 1 (5 minutes past) and moves to the 4 (20 minutes past). How many minutes passed?
g2b-02-01,2,i1,5.2,3.2,,Build what remains: 568 take away 234 leaves this number.
g2b-02-01,2,i2,5.2,3.2,,Build what remains: 568 take away 234 leaves this number.
g2b-03-03,2,i1,5.2,3.2,,"Build 435 standard, ready to explain each place aloud."
g2b-03-03,2,i2,5.2,3.2,,"Build 435 standard, ready to explain each place aloud."
kc-01-03,0,ch1,3.2,3.2,,Start at 6. Hop forward until you land exactly on 10.
kc-03-02,0,ch1,3.2,3.2,,Start at 13. Hop forward until you land exactly on 20.
g2g-01-03,2,ch1,5.2,3.2,,The tallest stack shows 8 x's above the number 3 inches. How many measurements sit in that stack?
g2g-01-04,2,k3,5.2,3.2,,The tallest stack shows 6 x's above the number 4 inches. How many measurements sit in that stack?
g2g-01-05,2,k2,5.2,3.2,,The tallest stack shows 7 x's above the number 4 inches. How many measurements sit in that stack?
g2g-01-05,2,ch1,5.2,3.2,,The tallest stack shows 5 x's above the number 3 inches. How many measurements sit in that stack?
f20-03-03,2,k1,5.2,3.2,,"Fact family 6, 8, 14: knowing 6 + 8 = 14, what is 14 − 8?"
f20-03-03,2,k2,5.2,3.2,,"Fact family 5, 9, 14: knowing 5 + 9 = 14, what is 14 − 9?"
f20-03-03,2,k3,5.2,3.2,,"Fact family 7, 8, 15: knowing 7 + 8 = 15, what is 15 − 8?"
f20-03-03,2,ch1,5.2,3.2,,"Fact family 4, 8, 12: knowing 4 + 8 = 12, what is 12 − 8?"
fa-05-02,4,ch1,7.2,3.2,,"A hose is made of 8 sections, each 3/10 meter long. As a fully simplified mixed number, how many WHOLE meters long is the hose (before the leftover fraction)?"
khm-02-01,0,ch1,3.2,3.2,,A group shows 5 dots. Which numeral names that amount?
khm-03-04,0,k2,3.2,3.2,,A group shows 6 dots. Which numeral names that amount?
