lesson,step,widget,verdict,figure_key_present,figure_registered,withheld_in_queue,data_in_prompt,evidence
pr-03-03,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for pr-03-03; prompt/options fully specify the numbers or relationships needed (""The graphed point (2, 18) represents a recipe. What is the rate?"") so it grades and is answerable without ever seeing an image -- 'the graphed' is decorative wording, not a missing dependency."
pr-03-03,i3,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for pr-03-03; prompt/options fully specify the numbers or relationships needed (""The graphed point (6, 24) represents a walking trip. What is the rate?"") so it grades and is answerable without ever seeing an image -- 'the graphed' is decorative wording, not a missing dependency."
pr-03-03,k2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for pr-03-03; prompt/options fully specify the numbers or relationships needed (""The graphed point (5, 35) represents a factory's output. What is the rate?"") so it grades and is answerable without ever seeing an image -- 'the graphed' is decorative wording, not a missing dependency."
pr-03-03,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.9); not in ILLUSTRATION_REPLACEMENT queue for pr-03-03; prompt/options fully specify the numbers or relationships needed (""The graphed point (6, 42) represents a delivery route's distance over time. What is the rate?"") so it grades and is answerable without ever seeing an image -- 'the graphed' is decorative wording, not a missing dependency."
qu-01-03,i1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i1 (steps.1); not in ILLUSTRATION_REPLACEMENT queue for qu-01-03; prompt/options fully specify the numbers or relationships needed (""Compared with y = x^2, the graph of y = 3x^2 is..."") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
qu-01-03,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.9); not in ILLUSTRATION_REPLACEMENT queue for qu-01-03; prompt/options fully specify the numbers or relationships needed (""The graph of y = (x - 3)^2 - 4 is y = x^2 shifted how?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
re-03-01,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for re-03-01; prompt/options fully specify the numbers or relationships needed (""Which point is NOT on the graph of f(x) = √x?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
re-03-02,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for re-03-02; prompt/options fully specify the numbers or relationships needed (""Where does the graph of f(x) = √(x − 3) START?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
sy-01-01,i2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for sy-01-01; prompt/options fully specify the numbers or relationships needed (""A dilation has scale factor k = ½. The image is…"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
sy-06-01,k1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for sy-06-01; prompt/options fully specify the numbers or relationships needed (""The rectangle's bottom side is 3 units long. After dilating by k = 2, how long is the image's bottom side?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
sg-03-02,i2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i2 (steps.5); not in ILLUSTRATION_REPLACEMENT queue for sg-03-02; prompt/options fully specify the numbers or relationships needed (""The figure shows the cone inside its matching cylinder. The space BETWEEN them (cylinder minus cone) holds:"") so it grades and is answerable without ever seeing an image -- 'the figure' is decorative wording, not a missing dependency."
alg1-04-01,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for alg1-04-01; prompt/options fully specify the numbers or relationships needed (""The graph of x < 4 has its arrow pointing which way?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
tm-01-02,i1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for tm-01-02; prompt/options fully specify the numbers or relationships needed (""Reflect the point (3, 5) across the x-axis. What is the image?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
tm-01-03,i1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i1 (steps.1); not in ILLUSTRATION_REPLACEMENT queue for tm-01-03; prompt/options fully specify the numbers or relationships needed (""Rotate (2, 3) by 180° around the origin. What is the image?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
tm-01-03,i2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for tm-01-03; prompt/options fully specify the numbers or relationships needed (""Rotate (−5, 2) by 180° around the origin. What is the image?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
tm-01b-01,ch1,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for tm-01b-01; prompt/options fully specify the numbers or relationships needed (""Under (x, y) → (x − 2, y + 6), a point lands at (3, 10). What was its original x-coordinate?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
tm-01b-02,k2,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.3); not in ILLUSTRATION_REPLACEMENT queue for tm-01b-02; prompt/options fully specify the numbers or relationships needed (""Reflect (−3, 7) across the x-axis. The image is (−3, b). What is b?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
tm-02-02,i1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step i1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for tm-02-02; prompt/options fully specify the numbers or relationships needed (""Dilate (3, 4) by a scale factor of 2 from the origin. What is the image?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
tm-02-02,k3,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for tm-02-02; prompt/options fully specify the numbers or relationships needed (""A shape is dilated by a factor of 3. Is the image congruent to the original?"") so it grades and is answerable without ever seeing an image -- 'the image' is decorative wording, not a missing dependency."
tg-01-01,k1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for tg-01-01; prompt/options fully specify the numbers or relationships needed (""The graph of y = sin(x + π/3) is the sine wave shifted:"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
tg-02-01,k2,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.3); not in ILLUSTRATION_REPLACEMENT queue for tg-02-01; prompt/options fully specify the numbers or relationships needed (""For y = 2 cos x + 3, where does the graph FIRST cross its midline (x > 0)?"") so it grades and is answerable without ever seeing an image -- 'the graph' is decorative wording, not a missing dependency."
vm-02-01,k1,mcq,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for vm-02-01; prompt/options fully specify the numbers or relationships needed (""In the plot (1/4 → XX, 1/2 → XXX, 3/4 → X, 1 → XX), which length is MOST common?"") so it grades and is answerable without ever seeing an image -- 'the plot' is decorative wording, not a missing dependency."
vm-02-02,k1,fractionEntry,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k1 (steps.2); not in ILLUSTRATION_REPLACEMENT queue for vm-02-02; prompt/options fully specify the numbers or relationships needed (""Total length of all ribbons in the plot (1/4 → XX, 1/2 → XXX, 3/4 → X)?"") so it grades and is answerable without ever seeing an image -- 'the plot' is decorative wording, not a missing dependency."
vm-02-02,k2,fractionEntry,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k2 (steps.4); not in ILLUSTRATION_REPLACEMENT queue for vm-02-02; prompt/options fully specify the numbers or relationships needed (""In the plot (1/4 → XX, 1/2 → XXX, 3/4 → X), how much longer is the longest ribbon than the shortest?"") so it grades and is answerable without ever seeing an image -- 'the plot' is decorative wording, not a missing dependency."
vm-02-02,k3,numeric,DATA_INLINE,no,n/a,no,yes,"figure key absent on step k3 (steps.6); not in ILLUSTRATION_REPLACEMENT queue for vm-02-02; prompt/options fully specify the numbers or relationships needed (""Write the plot's total in quarters: 2/4 + 6/4 + 3/4 = ?/4. What is the numerator?"") so it grades and is answerable without ever seeing an image -- 'the plot' is decorative wording, not a missing dependency."
vm-02-02,ch1,fractionEntry,DATA_INLINE,no,n/a,no,yes,"figure key absent on step ch1 (steps.7); not in ILLUSTRATION_REPLACEMENT queue for vm-02-02; prompt/options fully specify the numbers or relationships needed (""Total length of the plot 1/4 → X, 1/2 → XX, 3/4 → X?"") so it grades and is answerable without ever seeing an image -- 'the plot' is decorative wording, not a missing dependency."
vm-02-02,r1,(none),NO_FIGURE_AUTHORED,no,n/a,no,n/a,"kind=recap, no widget/prompt; body text ('The plot is a dataset.') references 'the plot' narratively; no figure key authored; not a gradable item."
