# S242 / MPB-05 before-and-after sweep. Generated by scripts/audit/derivative-island-sweep.mts
# `before`/`after` list the island SOURCES separated by U+22C2; a string is listed only if they differ.
source,owner,unit,field,surface,verdict,before,after,text
"generated","g13-derivative-rules","derivative-rules__dr-implicit-practice__mcq:core","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","On x² + y² = 25, why does dy/dx = −x/y depend on y as well as x?

Reasoning check: Check the result against the domain, sign, orientation, and units."
"generated","g13-derivative-rules","derivative-rules__dr-implicit-practice__mcq:core","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","On x² + y² = 25, why does dy/dx = −x/y depend on y as well as x?

Reasoning check: State the invariant or definition that makes the method valid."
"generated","g13-derivative-rules","derivative-rules__dr-implicit-practice__mcq:core","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","On x² + y² = 25, why does dy/dx = −x/y depend on y as well as x?

Reasoning check: Use a second representation to verify the conclusion."
"generated","g13-derivative-rules","derivative-rules__dr-implicit-practice__mcq:stretch","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","On x² + y² = 25, why does dy/dx = −x/y depend on y as well as x?

Reasoning check: Give a definition-level justification and audit every hidden assumption."
"generated","g13-derivative-rules","derivative-rules__dr-implicit-practice__mcq:stretch","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","On x² + y² = 25, why does dy/dx = −x/y depend on y as well as x?

Reasoning check: Test the conclusion against a boundary case or counterexample."
"generated","g13-derivative-rules","derivative-rules__dr-implicit-practice__mcq:stretch","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","On x² + y² = 25, why does dy/dx = −x/y depend on y as well as x?

Reasoning check: Check both the numerical result and the logical conditions that permit it."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:support","widget.options[0].feedback","arithmetic-off","gained-derivative","","dy/dx","That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:support","widget.options[2].feedback","arithmetic-off","gained-derivative","","dy/dx","y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:support","widget.options[3].label","arithmetic-off","gained-derivative","","dy/dx","2y·(dy/dx)"
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:support","widget.options[0].feedback","arithmetic-off","gained-derivative","","dy/dx","That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:support","widget.options[2].label","arithmetic-off","gained-derivative","","dy/dx","2y·(dy/dx)"
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:support","widget.options[3].feedback","arithmetic-off","gained-derivative","","dy/dx","y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:support","widget.options[1].label","arithmetic-off","gained-derivative","","dy/dx","2y·(dy/dx)"
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:support","widget.options[2].feedback","arithmetic-off","gained-derivative","","dy/dx","y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:support","widget.options[3].feedback","arithmetic-off","gained-derivative","","dy/dx","That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:core","widget.options[1].feedback","arithmetic-off","gained-derivative","","dy/dx","y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:core","widget.options[2].label","arithmetic-off","gained-derivative","","dy/dx","2y·(dy/dx)"
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:core","widget.options[3].feedback","arithmetic-off","gained-derivative","","dy/dx","That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:core","widget.options[0].feedback","arithmetic-off","gained-derivative","","dy/dx","That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:core","widget.options[1].label","arithmetic-off","gained-derivative","","dy/dx","2y·(dy/dx)"
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:core","widget.options[3].feedback","arithmetic-off","gained-derivative","","dy/dx","y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:core","widget.options[0].label","arithmetic-off","gained-derivative","","dy/dx","2y·(dy/dx)"
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:core","widget.options[2].feedback","arithmetic-off","gained-derivative","","dy/dx","y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:core","widget.options[3].feedback","arithmetic-off","gained-derivative","","dy/dx","That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:stretch","widget.options[0].feedback","arithmetic-off","gained-derivative","","dy/dx","y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:stretch","widget.options[1].feedback","arithmetic-off","gained-derivative","","dy/dx","That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:stretch","widget.options[3].label","arithmetic-off","gained-derivative","","dy/dx","2y·(dy/dx)"
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:stretch","widget.options[0].feedback","arithmetic-off","gained-derivative","","dy/dx","That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:stretch","widget.options[1].feedback","arithmetic-off","gained-derivative","","dy/dx","y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:stretch","widget.options[2].label","arithmetic-off","gained-derivative","","dy/dx","2y·(dy/dx)"
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:stretch","widget.options[0].label","arithmetic-off","gained-derivative","","dy/dx","2y·(dy/dx)"
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:stretch","widget.options[1].feedback","arithmetic-off","gained-derivative","","dy/dx","That would be right if you were differentiating with respect to y. With respect to x, the chain rule adds a factor of dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__mcq:stretch","widget.options[2].feedback","arithmetic-off","gained-derivative","","dy/dx","y is not a constant — it changes as x changes, which is exactly why it has a derivative dy/dx."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:support","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal.

Reasoning check: Mark the known quantities, then choose the operation or theorem that connects them."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:support","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ 3/4","Close, but inverted: dy/dx = −x/y = −3/4, not −y/x."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:support","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal.

Reasoning check: Use the visible structure one step at a time and check the units."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:support","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ 3/4","Close, but inverted: dy/dx = −x/y = −3/4, not −y/x."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:support","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal.

Reasoning check: Use the visible structure one step at a time and check the units."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:support","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ 3/4","Close, but inverted: dy/dx = −x/y = −3/4, not −y/x."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:core","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal.

Reasoning check: Check the result against the domain, sign, orientation, and units."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:core","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ 3/4","Close, but inverted: dy/dx = −x/y = −3/4, not −y/x."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:core","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal.

Reasoning check: Justify the relationship before entering the result."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:core","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ 3/4","Close, but inverted: dy/dx = −x/y = −3/4, not −y/x."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:core","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal.

Reasoning check: State the invariant or definition that makes the method valid."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:core","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ 3/4","Close, but inverted: dy/dx = −x/y = −3/4, not −y/x."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:stretch","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal.

Reasoning check: Explain why the method still works after the parameters are changed."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:stretch","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ 3/4","Close, but inverted: dy/dx = −x/y = −3/4, not −y/x."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:stretch","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal.

Reasoning check: Verify the result by an independent representation or reverse operation."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:stretch","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ 3/4","Close, but inverted: dy/dx = −x/y = −3/4, not −y/x."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:stretch","widget.prompt","arithmetic-off","gained-derivative","","dy/dx","x² + y² = 25. Find dy/dx at the point (3, 4), as a decimal.

Reasoning check: Explain why the method still works after the parameters are changed."
"generated","g13-derivative-rules","derivative-rules__dr-implicit__numeric:stretch","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","3/4","dy/dx ⟂ 3/4","Close, but inverted: dy/dx = −x/y = −3/4, not −y/x."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:support","widget.missFeedback","arithmetic-off","gained-derivative","","d/dt","Ask of each quantity: is it different a second later? If yes, it varies and owes a d/dt."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:support","widget.successFeedback","arithmetic-off","gained-derivative","","d/dt","Only the ladder's length is fixed. Everything else owes a d/dt — and that is exactly why the equation differentiates to zero."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:support","widget.missFeedback","arithmetic-off","gained-derivative","","d/dt","Ask of each quantity: is it different a second later? If yes, it varies and owes a d/dt."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:support","widget.successFeedback","arithmetic-off","gained-derivative","","d/dt","Only the ladder's length is fixed. Everything else owes a d/dt — and that is exactly why the equation differentiates to zero."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:support","widget.missFeedback","arithmetic-off","gained-derivative","","d/dt","Ask of each quantity: is it different a second later? If yes, it varies and owes a d/dt."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:support","widget.successFeedback","arithmetic-off","gained-derivative","","d/dt","Only the ladder's length is fixed. Everything else owes a d/dt — and that is exactly why the equation differentiates to zero."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:core","widget.missFeedback","arithmetic-off","gained-derivative","","d/dt","Ask of each quantity: is it different a second later? If yes, it varies and owes a d/dt."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:core","widget.successFeedback","arithmetic-off","gained-derivative","","d/dt","Only the ladder's length is fixed. Everything else owes a d/dt — and that is exactly why the equation differentiates to zero."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:core","widget.missFeedback","arithmetic-off","gained-derivative","","d/dt","Ask of each quantity: is it different a second later? If yes, it varies and owes a d/dt."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:core","widget.successFeedback","arithmetic-off","gained-derivative","","d/dt","Only the ladder's length is fixed. Everything else owes a d/dt — and that is exactly why the equation differentiates to zero."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:core","widget.missFeedback","arithmetic-off","gained-derivative","","d/dt","Ask of each quantity: is it different a second later? If yes, it varies and owes a d/dt."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:core","widget.successFeedback","arithmetic-off","gained-derivative","","d/dt","Only the ladder's length is fixed. Everything else owes a d/dt — and that is exactly why the equation differentiates to zero."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:stretch","widget.missFeedback","arithmetic-off","gained-derivative","","d/dt","Ask of each quantity: is it different a second later? If yes, it varies and owes a d/dt."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:stretch","widget.successFeedback","arithmetic-off","gained-derivative","","d/dt","Only the ladder's length is fixed. Everything else owes a d/dt — and that is exactly why the equation differentiates to zero."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:stretch","widget.missFeedback","arithmetic-off","gained-derivative","","d/dt","Ask of each quantity: is it different a second later? If yes, it varies and owes a d/dt."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:stretch","widget.successFeedback","arithmetic-off","gained-derivative","","d/dt","Only the ladder's length is fixed. Everything else owes a d/dt — and that is exactly why the equation differentiates to zero."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:stretch","widget.missFeedback","arithmetic-off","gained-derivative","","d/dt","Ask of each quantity: is it different a second later? If yes, it varies and owes a d/dt."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__dragBucket:stretch","widget.successFeedback","arithmetic-off","gained-derivative","","d/dt","Only the ladder's length is fixed. Everything else owes a d/dt — and that is exactly why the equation differentiates to zero."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__mcq:support","widget.options[3].feedback","arithmetic-off","gained-derivative","","dr/dt ⟂ dh/dt","Right. Differentiating the two-variable version leaves both dr/dt and dh/dt in your answer, and you cannot finish."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__mcq:core","widget.options[3].feedback","arithmetic-off","gained-derivative","","dr/dt ⟂ dh/dt","Right. Differentiating the two-variable version leaves both dr/dt and dh/dt in your answer, and you cannot finish."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__mcq:core","widget.options[1].feedback","arithmetic-off","gained-derivative","","dr/dt ⟂ dh/dt","Right. Differentiating the two-variable version leaves both dr/dt and dh/dt in your answer, and you cannot finish."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__mcq:stretch","widget.options[0].feedback","arithmetic-off","gained-derivative","","dr/dt ⟂ dh/dt","Right. Differentiating the two-variable version leaves both dr/dt and dh/dt in your answer, and you cannot finish."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:support","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","2500/50","dz/dt ⟂ 2500/50","That is the average of the two speeds. The correct relation gives dz/dt = 2500/50 = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:support","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dz/dt ⟂ dz/dt","z = 50, and 50(dz/dt) = 30(30) + 40(40) = 2500 → dz/dt = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:support","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","2500/50","dz/dt ⟂ 2500/50","That is the average of the two speeds. The correct relation gives dz/dt = 2500/50 = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:support","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dz/dt ⟂ dz/dt","z = 50, and 50(dz/dt) = 30(30) + 40(40) = 2500 → dz/dt = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:support","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","2500/50","dz/dt ⟂ 2500/50","That is the average of the two speeds. The correct relation gives dz/dt = 2500/50 = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:support","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dz/dt ⟂ dz/dt","z = 50, and 50(dz/dt) = 30(30) + 40(40) = 2500 → dz/dt = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:core","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","2500/50","dz/dt ⟂ 2500/50","That is the average of the two speeds. The correct relation gives dz/dt = 2500/50 = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:core","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dz/dt ⟂ dz/dt","z = 50, and 50(dz/dt) = 30(30) + 40(40) = 2500 → dz/dt = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:core","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","2500/50","dz/dt ⟂ 2500/50","That is the average of the two speeds. The correct relation gives dz/dt = 2500/50 = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:core","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dz/dt ⟂ dz/dt","z = 50, and 50(dz/dt) = 30(30) + 40(40) = 2500 → dz/dt = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:core","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","2500/50","dz/dt ⟂ 2500/50","That is the average of the two speeds. The correct relation gives dz/dt = 2500/50 = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:core","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dz/dt ⟂ dz/dt","z = 50, and 50(dz/dt) = 30(30) + 40(40) = 2500 → dz/dt = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:stretch","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","2500/50","dz/dt ⟂ 2500/50","That is the average of the two speeds. The correct relation gives dz/dt = 2500/50 = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:stretch","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dz/dt ⟂ dz/dt","z = 50, and 50(dz/dt) = 30(30) + 40(40) = 2500 → dz/dt = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:stretch","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","2500/50","dz/dt ⟂ 2500/50","That is the average of the two speeds. The correct relation gives dz/dt = 2500/50 = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:stretch","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dz/dt ⟂ dz/dt","z = 50, and 50(dz/dt) = 30(30) + 40(40) = 2500 → dz/dt = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:stretch","widget.commonErrors[2].feedback","arithmetic-off","gained-derivative","2500/50","dz/dt ⟂ 2500/50","That is the average of the two speeds. The correct relation gives dz/dt = 2500/50 = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-choosing-relation__numeric:stretch","widget.fallbackFeedback","arithmetic-off","gained-derivative","","dz/dt ⟂ dz/dt","z = 50, and 50(dz/dt) = 30(30) + 40(40) = 2500 → dz/dt = 50 mph."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[0].feedback","arithmetic-off","gained-derivative","","d/dt","Each variable owes a d/dt. Without them you have differentiated with respect to x and y, not with respect to time."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[1].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 100"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[2].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 0"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[3].feedback","arithmetic-off","gained-derivative","","d/dt","Nothing has been differentiated at all — the d/dt has not been applied."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[0].feedback","arithmetic-off","gained-derivative","","d/dt","Nothing has been differentiated at all — the d/dt has not been applied."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[1].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 100"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[2].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 0"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[3].feedback","arithmetic-off","gained-derivative","","d/dt","Each variable owes a d/dt. Without them you have differentiated with respect to x and y, not with respect to time."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[0].feedback","arithmetic-off","gained-derivative","","d/dt","Each variable owes a d/dt. Without them you have differentiated with respect to x and y, not with respect to time."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[1].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 0"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[2].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 100"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:support","widget.options[3].feedback","arithmetic-off","gained-derivative","","d/dt","Nothing has been differentiated at all — the d/dt has not been applied."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[0].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 100"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[1].feedback","arithmetic-off","gained-derivative","","d/dt","Each variable owes a d/dt. Without them you have differentiated with respect to x and y, not with respect to time."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[2].feedback","arithmetic-off","gained-derivative","","d/dt","Nothing has been differentiated at all — the d/dt has not been applied."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[3].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 0"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[0].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 100"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[1].feedback","arithmetic-off","gained-derivative","","d/dt","Each variable owes a d/dt. Without them you have differentiated with respect to x and y, not with respect to time."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[2].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 0"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[3].feedback","arithmetic-off","gained-derivative","","d/dt","Nothing has been differentiated at all — the d/dt has not been applied."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[0].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 100"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[1].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 0"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[2].feedback","arithmetic-off","gained-derivative","","d/dt","Each variable owes a d/dt. Without them you have differentiated with respect to x and y, not with respect to time."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:core","widget.options[3].feedback","arithmetic-off","gained-derivative","","d/dt","Nothing has been differentiated at all — the d/dt has not been applied."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:stretch","widget.options[0].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 100"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:stretch","widget.options[1].feedback","arithmetic-off","gained-derivative","","d/dt","Each variable owes a d/dt. Without them you have differentiated with respect to x and y, not with respect to time."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:stretch","widget.options[2].feedback","arithmetic-off","gained-derivative","","d/dt","Nothing has been differentiated at all — the d/dt has not been applied."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:stretch","widget.options[3].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 0"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:stretch","widget.options[0].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 0"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:stretch","widget.options[1].feedback","arithmetic-off","gained-derivative","","d/dt","Nothing has been differentiated at all — the d/dt has not been applied."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:stretch","widget.options[2].feedback","arithmetic-off","gained-derivative","","d/dt","Each variable owes a d/dt. Without them you have differentiated with respect to x and y, not with respect to time."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:stretch","widget.options[3].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 100"
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:stretch","widget.options[0].feedback","arithmetic-off","gained-derivative","","d/dt","Each variable owes a d/dt. Without them you have differentiated with respect to x and y, not with respect to time."
"generated","g13-derivatives-in-context","derivatives-in-context__dc-ladder__mcq:stretch","widget.options[1].label","arithmetic-off","gained-derivative","","dx/dt ⟂ dy/dt","2x(dx/dt) + 2y(dy/dt) = 0"
